fold,preindex,country_id,y_true,y_pred,dataset,mse,rmse,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
2,0,0,0.0,0.58542526,train,0.34272274,0.58542526,1.0,1.0,23.704496,17.303381,-1.0,-0.07708967204640352,0.2406195985004294,-0.3243444987287109,-0.08559523151814881,-2.4732234210545827,-14.57298664009323
2,1,0,0.0,0.58947086,train,0.3474759,0.58947086,1.0,1.0,23.718906,17.334595,-1.0,-0.07713933794945542,0.24068697834759914,-0.31670590635389023,-0.0873399553870141,-2.473962415397172,-14.57411362254123
2,2,0,0.0,0.595139,train,0.35419047,0.595139,1.0,1.0,23.741257,17.36041,-1.0,-0.07722974191854388,0.24083821019405974,-0.3050111206422272,-0.08892481026674115,-2.475797618267439,-14.576781074685355
2,3,0,0.0,0.6017245,train,0.36207238,0.6017245,1.0,1.0,23.767384,17.389074,-1.0,-0.07733574738353532,0.24101925671597232,-0.29134823437531765,-0.09071207757542825,-2.477990954771641,-14.579952859808998
2,4,0,0.0,0.60513043,train,0.36618283,0.60513043,1.0,1.0,23.779205,17.417927,-1.0,-0.07737813546508487,0.24107326155900785,-0.28506854043652696,-0.09232018777728128,-2.4785011168643885,-14.580719909998274
2,5,1,0.0,2.314521,train,5.357008,2.314521,1.0,0.0,22.260267,14.798337,-9.0,-0.1601035390694941,-1.2227234799961206,-1.3446465370928233,0.09165031752238643,-7.183136082271741,-5.744564727420611
2,6,1,0.0,2.350682,train,5.525706,2.350682,1.0,0.0,22.316133,14.818367,-9.0,-0.1602505220969516,-1.2230378844278529,-1.3063595392281817,0.09017674858495535,-7.183310903546712,-5.744580763302748
2,7,1,0.0,2.368716,train,5.6108155,2.368716,1.0,0.0,22.345194,14.839499,-9.0,-0.16024483633041395,-1.2231933281446445,-1.2862905514463794,0.08848134004076293,-7.183426746939622,-5.74465499829253
2,9,1,0.0,2.3645704,train,5.591193,2.3645704,1.0,0.0,22.343588,14.881747,-9.0,-0.1599125969409939,-1.2231468866442627,-1.286789470719793,0.08481215538580854,-7.183522690743206,-5.744915492122377
2,10,1,0.0,2.3749619,train,5.640444,2.3749619,1.0,0.0,22.361237,14.9023075,-9.0,-0.15985272657871272,-1.2232397827009334,-1.274501113931338,0.08310546339054926,-7.1836171352913,-5.744977974484369
2,11,1,0.0,2.4104846,train,5.810436,2.4104846,1.0,0.0,22.416079,14.921639,-9.0,-0.1600032389561332,-1.2235605234180857,-1.2369306397562236,0.08167519122858526,-7.183794648185375,-5.744946711152792
2,12,1,0.0,2.4037101,train,5.7778225,2.4037101,1.0,0.0,22.408169,14.94161,-9.0,-0.15981180953979535,-1.2235045754536957,-1.2420424069737404,0.07989873627324894,-7.1838355915745185,-5.745039348478116
2,14,1,0.0,2.453933,train,6.021787,2.453933,1.0,0.0,22.48769,14.987356,-9.0,-0.15989702820777751,-1.2239614305272641,-1.1873289494489625,0.07627690485119443,-7.184135739227139,-5.745065879498924
2,15,1,0.0,12.210801,train,149.10367,12.210801,1.0,0.0,22.387033,15.005347,1.0,-0.09958383830388075,-1.0430527871871924,-1.276688944635293,0.11834702284634342,0.19793880517779994,-3.564205209622787
2,16,1,0.0,14.339687,train,205.62663,14.339687,1.0,1.0,22.058498,14.999319,3.0,-0.09188431914646789,0.26582797908783207,-1.4551726296742766,0.07522469876209516,0.9317585728665182,-3.2641130307813557
2,17,1,0.0,14.597626,train,213.09068,14.597626,1.0,1.0,21.983913,14.993255,5.0,-0.09445126612980902,0.23579405852159174,-1.506497418647011,0.0730359703054019,1.3051913611044517,-3.2934911416818817
2,19,1,0.0,14.71648,train,216.5748,14.71648,1.0,1.0,22.154972,14.981014,5.0,-0.09448348919550922,0.23571858263015072,-1.389991591100889,0.07404245640337845,1.3052743337303376,-3.2921270673125957
2,21,1,19.648336,14.147291,train,30.2615,5.501045,0.0,1.0,22.367134,14.968622,0.0,0.4332276573727542,0.33454774185021763,-1.2519399368464967,0.09910543929040218,0.0358748006870355,-3.3815686878313644
2,22,1,19.446531,15.198623,train,18.044727,4.2479086,0.0,1.0,22.251497,14.962367,5.0,0.3626542088339699,0.2371520927349735,-1.3295800724178588,0.07829685377081341,1.2595914423912768,-3.2875369443843763
2,24,1,20.286638,15.341497,train,24.454418,4.945141,0.0,1.0,22.457361,14.94974,5.0,0.3634651393095708,0.23702862846851555,-1.1884850681424195,0.07934108211596387,1.2584620681802432,-3.2863585976163567
2,26,1,20.758808,15.029751,train,32.822098,5.7290573,1.0,1.0,22.604189,14.933982,5.0,-0.09456695572535058,0.23555176230271652,-1.0839515527685504,0.07787324899434617,1.305471180498603,-3.2886729356249194
2,27,1,20.793716,15.369445,train,29.422722,5.4242716,1.0,1.0,22.648556,14.930984,7.0,-0.0937516523996997,0.23595766599972606,-1.054769067903361,0.07808057989676886,1.650091596603387,-3.324209397713335
2,28,1,20.905018,15.406825,train,30.230124,5.498193,1.0,1.0,22.702368,14.927242,7.0,-0.09378993018467932,0.23590514453252467,-1.018003890285898,0.07840169903635606,1.6501526670257243,-3.3238867008089987
2,29,1,21.074625,15.444148,train,31.70227,5.630477,1.0,1.0,22.756048,14.923062,7.0,-0.09382774225871011,0.23585269486903354,-0.9813229665408543,0.07875479389727158,1.650209435875219,-3.323562321131423
2,30,1,21.291885,15.790503,train,30.265213,5.501383,1.0,1.0,22.80984,14.917945,9.0,-0.08846405935287396,0.23780333169301207,-0.9455673264712123,0.0810843945493299,1.981382773076496,-3.3537835952490584
2,31,1,21.448269,15.830519,train,31.559116,5.61775,1.0,1.0,22.86719,14.911635,9.0,-0.08875154495238774,0.23775959046681827,-0.9061934391657531,0.08159995931386528,1.9815037238101199,-3.353443735887614
2,33,1,21.575806,15.9216,train,31.970037,5.6542053,1.0,1.0,22.997622,14.896405,9.0,-0.08940807596842831,0.23765790863831704,-0.8166503299127014,0.082847090100249,1.9817797837207745,-3.3526711574047834
2,34,1,21.621843,15.944862,train,32.22811,5.676981,1.0,1.0,23.030613,14.889667,9.0,-0.08958232116699306,0.2376347457965207,-0.7940047886123245,0.08340014054874778,1.9818465982824582,-3.3524771317492004
2,35,1,21.797422,15.970335,train,33.95495,5.8270874,1.0,1.0,23.067013,14.884702,9.0,-0.08977168766657385,0.23761196668943121,-0.7690180305540579,0.08380994732181025,1.9819221859375644,-3.3522664049863873
2,36,1,21.86203,15.987868,train,34.505775,5.8741617,1.0,1.0,23.092148,14.882011,9.0,-0.08990235153833726,0.23759766391913,-0.7517628738582183,0.08403275719284534,1.9819796098768758,-3.352121619194747
2,37,1,21.864962,15.997696,train,34.42481,5.8672657,1.0,1.0,23.10622,14.88036,9.0,-0.08997586218516349,0.23758963545163433,-0.7421004938781228,0.08416842227180915,1.9820111344258002,-3.352041082183526
2,38,1,21.880728,16.00471,train,34.527596,5.8760185,1.0,1.0,23.116192,14.878528,9.0,-0.09002974891662523,0.237583389441175,-0.7352547936985897,0.08431699646015954,1.982032609785597,-3.3519843319207503
2,39,1,21.87903,16.016993,train,34.363487,5.8620377,1.0,1.0,23.13378,14.876457,9.0,-0.09012154499689769,0.23757352960109746,-0.7231760624200119,0.08448712653418151,1.9820710212240653,-3.3518847162475227
2,40,1,21.856247,16.032345,train,33.917835,5.823902,1.0,1.0,23.155725,14.873546,9.0,-0.09023750241597799,0.23756017537911325,-0.708102044761178,0.08472616106271624,1.9821160587270996,-3.3517631524999865
2,41,1,21.929243,16.054947,train,34.507355,5.874296,1.0,1.0,23.188337,14.871946,9.0,-0.0904045327504482,0.2375419777234342,-0.6856991272320344,0.08486272977292737,1.9821847226470697,-3.3515839933703337
2,42,1,22.05115,16.080742,train,35.645767,5.9704075,1.0,1.0,23.225655,14.871027,9.0,-0.09059447860717876,0.23752173717815953,-0.6600637171665845,0.08494806313514582,1.9822658887902929,-3.351378826280431
2,43,1,22.094843,16.108093,train,35.84117,5.9867496,1.0,1.0,23.26506,14.86856,9.0,-0.09077092711130501,0.23749677058061183,-0.6330033845851877,0.08515001663068367,1.9823438239842701,-3.3511681604037706
2,44,2,22.873095,24.721205,train,3.4155114,1.8481102,0.0,1.0,26.272722,17.06881,6.0,0.3550669848819621,0.21540383561451684,1.4379403337140837,-0.09418688102563565,0.816304809580248,4.112630552301807
2,46,2,23.388582,21.534044,train,3.439311,1.854538,1.0,1.0,26.319378,17.10069,-9.0,-0.1436671231587754,0.25502646668751566,1.4784390207727762,-0.08820461486776461,-3.536379635274406,5.690783121615644
2,47,2,23.473907,21.500887,train,3.89281,1.9730206,1.0,1.0,26.273268,17.116745,-9.0,-0.1435158768494936,0.25503984745342945,1.4464019598066895,-0.08932206014792304,-3.5365273608863403,5.690765285114448
2,48,2,23.44138,21.568178,train,3.5088835,1.8732014,1.0,1.0,26.370602,17.132751,-9.0,-0.14357054670651304,0.25504714679718227,1.5138442306518531,-0.09046403643488862,-3.5360011001030713,5.691279267400505
2,49,2,23.388582,21.577877,train,3.2786534,1.8107052,1.0,1.0,26.385677,17.1486,-9.0,-0.14350908009211885,0.2550562355915668,1.5242359034617763,-0.09157819415131717,-3.535861997008325,5.6914871469040715
2,50,2,23.439312,22.029253,train,1.9882663,1.410059,1.0,1.0,26.332382,17.164406,-8.0,-0.12421650449435524,0.2502119642098675,1.4845424459725667,-0.08644353361427398,-2.951500237797703,5.578613749081896
2,51,2,23.478018,22.02326,train,2.11632,1.4547577,1.0,1.0,26.325,17.18014,-8.0,-0.1241452990373007,0.25022237527370184,1.4793983437319602,-0.08754786739747049,-2.9514817197918846,5.5787672538260615
2,52,2,23.503517,24.671492,train,1.3641644,1.1679745,1.0,1.0,26.36757,17.195726,8.0,-0.09602676932016951,0.21577010317643494,1.5000862417916438,-0.09908551892638766,1.1916078711251392,4.081096479803329
2,53,2,23.47726,24.68105,train,1.4491074,1.2037888,1.0,1.0,26.383156,17.2111,8.0,-0.09602713235219293,0.21577174401283528,1.5108301075001618,-0.10027543583512245,1.191586008717614,4.081117024908452
2,54,2,23.621828,24.64315,train,1.0430992,1.0213223,1.0,1.0,26.329872,17.226233,8.0,-0.09602285544077319,0.2157766820192289,1.4740835739870857,-0.10139077447852171,1.1915132844944842,4.081145296384892
2,55,2,23.513458,24.683146,train,1.3681684,1.1696873,1.0,1.0,26.389585,17.241346,8.0,-0.09602599477767296,0.21577702486515654,1.5152577196558186,-0.10259703928233196,1.191526208698752,4.081160573939487
2,56,2,23.478018,24.70037,train,1.4941468,1.222353,1.0,1.0,26.416273,17.256456,8.0,-0.09602727254231896,0.21577849491436987,1.5336582027673773,-0.10377759881814418,1.1915130275487806,4.081178904732074
2,57,2,23.649612,24.691656,train,1.085855,1.0420437,1.0,1.0,26.405317,17.271536,8.0,-0.09602605072657658,0.21578175707657427,1.5261004521250723,-0.10492328764995391,1.1914732475479493,4.081202964325753
2,58,2,23.721285,24.484879,train,0.5830753,0.7635937,1.0,1.0,26.331055,17.286413,7.0,-0.09604162947336793,0.21578762873014193,1.4745071226557165,-0.10606875715652918,1.0215849071542404,4.0970641455054135
2,60,2,23.849983,24.939848,train,1.1878052,1.0898647,0.0,1.0,26.393475,17.315218,7.0,0.35159681830803635,0.2159182407458494,1.5222747389872924,-0.11280613003174049,0.9862940825223905,4.098526980360349
2,61,2,23.839632,24.128366,train,0.08336757,0.28873444,0.0,0.0,26.469852,17.329092,7.0,0.3453306631619772,-0.7230774314651793,1.5783397159998611,-0.11674737180273045,1.0103844113324987,4.156091360487039
2,62,2,23.878693,24.181686,train,0.09180523,0.30299377,0.0,0.0,26.548729,17.342672,7.0,0.34548705717921174,-0.7231151688049192,1.6328401582439727,-0.11807412905991561,1.0103956949512176,4.1561057588855395
