fold,preindex,country_id,y_true,y_pred,dataset,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
2,1,0,0.0,4.86162,train,,,,,,,,,,,
2,2,0,0.0,4.8719244,train,,,,,,,,,,,
2,3,0,0.0,4.8840647,train,,,,,,,,,,,
2,4,0,0.0,4.888569,train,,,,,,,,,,,
2,5,1,0.0,4.340613,train,,,,,,,,,,,
2,8,1,0.0,4.3985825,train,,,,,,,,,,,
2,9,1,0.0,4.3876557,train,,,,,,,,,,,
2,11,1,0.0,4.43229,train,,,,,,,,,,,
2,12,1,0.0,4.4246616,train,,,,,,,,,,,
2,13,1,0.0,4.412823,train,,,,,,,,,,,
2,14,1,0.0,4.4733996,train,,,,,,,,,,,
2,15,1,0.0,11.360311,train,,,,,,,,,,,
2,17,1,0.0,14.204211,train,,,,,,,,,,,
2,20,1,19.503517,14.513648,train,,,,,,,,,,,
2,21,1,19.648336,11.785353,train,,,,,,,,,,,
2,22,1,19.446531,14.4959955,train,,,,,,,,,,,
2,23,1,19.737957,14.562764,train,,,,,,,,,,,
2,24,1,20.286638,14.658264,train,,,,,,,,,,,
2,25,1,20.615088,14.7122965,train,,,,,,,,,,,
2,26,1,20.758808,14.601041,train,,,,,,,,,,,
2,28,1,20.905018,15.286227,train,,,,,,,,,,,
2,29,1,21.074625,15.317025,train,,,,,,,,,,,
2,30,1,21.291885,15.97677,train,,,,,,,,,,,
2,31,1,21.448269,16.009695,train,,,,,,,,,,,
2,32,1,21.623165,16.043074,train,,,,,,,,,,,
2,33,1,21.575806,16.084593,train,,,,,,,,,,,
2,34,1,21.621843,16.103577,train,,,,,,,,,,,
2,35,1,21.797422,16.124485,train,,,,,,,,,,,
2,36,1,21.86203,16.138916,train,,,,,,,,,,,
2,37,1,21.864962,16.146997,train,,,,,,,,,,,
2,38,1,21.880728,16.15273,train,,,,,,,,,,,
2,40,1,21.856247,16.175436,train,,,,,,,,,,,
2,41,1,21.929243,16.194136,train,,,,,,,,,,,
2,42,1,22.05115,16.215519,train,,,,,,,,,,,
2,43,1,22.094843,16.23812,train,,,,,,,,,,,
2,44,2,22.873095,22.029509,train,,,,,,,,,,,
2,45,2,23.147066,19.637691,train,,,,,,,,,,,
2,46,2,23.388582,19.45715,train,,,,,,,,,,,
2,50,2,23.439312,19.819109,train,,,,,,,,,,,
2,51,2,23.478018,19.82254,train,,,,,,,,,,,
2,52,2,23.503517,22.3735,train,,,,,,,,,,,
2,53,2,23.47726,22.384457,train,,,,,,,,,,,
2,54,2,23.621828,22.371044,train,,,,,,,,,,,
2,55,2,23.513458,22.397472,train,,,,,,,,,,,
2,56,2,23.478018,22.412256,train,,,,,,,,,,,
2,57,2,23.649612,22.413752,train,,,,,,,,,,,
2,58,2,23.721285,22.138256,train,,,,,,,,,,,
2,59,2,23.886898,22.378368,train,,,,,,,,,,,
2,60,2,23.849983,22.414251,train,,,,,,,,,,,
2,61,2,23.839632,21.971106,train,,,,,,,,,,,
2,63,2,24.02102,22.02854,train,,,,,,,,,,,
2,64,2,24.224192,22.023043,train,,,,,,,,,,,
2,65,2,24.297876,22.046492,train,,,,,,,,,,,
2,66,2,24.412788,22.078253,train,,,,,,,,,,,
2,67,2,24.51375,22.095694,train,,,,,,,,,,,
2,68,2,24.501066,22.342234,train,,,,,,,,,,,
2,70,2,24.554773,22.80648,train,,,,,,,,,,,
2,71,2,24.585234,22.525873,train,,,,,,,,,,,
2,73,2,24.721476,22.593496,train,,,,,,,,,,,
2,74,2,24.842691,22.627085,train,,,,,,,,,,,
2,76,2,24.975296,22.692045,train,,,,,,,,,,,
2,77,2,24.982666,22.709597,train,,,,,,,,,,,
2,78,2,24.884535,22.460423,train,,,,,,,,,,,
2,79,2,25.014658,22.495346,train,,,,,,,,,,,
2,80,2,25.05531,22.995012,train,,,,,,,,,,,
2,81,2,25.013357,22.995413,train,,,,,,,,,,,
2,83,2,24.905174,23.002707,train,,,,,,,,,,,
2,84,2,24.877007,23.27063,train,,,,,,,,,,,
2,86,2,24.954634,23.280462,train,,,,,,,,,,,
2,87,2,24.961073,23.274717,train,,,,,,,,,,,
2,88,3,0.0,18.194916,train,,,,,,,,,,,
2,90,3,0.0,17.711695,train,,,,,,,,,,,
2,91,3,21.002556,17.72154,train,,,,,,,,,,,
2,92,3,20.345243,16.661386,train,,,,,,,,,,,
2,93,3,20.420889,15.299649,train,,,,,,,,,,,
2,94,3,20.349607,15.319035,train,,,,,,,,,,,
2,95,3,20.348906,17.532637,train,,,,,,,,,,,
2,96,3,20.474154,17.540281,train,,,,,,,,,,,
2,97,3,20.646084,17.556314,train,,,,,,,,,,,
2,98,3,20.88717,17.58465,train,,,,,,,,,,,
2,99,3,21.182966,17.625174,train,,,,,,,,,,,
2,100,3,21.449594,17.668978,train,,,,,,,,,,,
2,101,3,21.42423,17.702066,train,,,,,,,,,,,
2,102,3,21.575127,17.745813,train,,,,,,,,,,,
2,103,3,21.498903,17.787107,train,,,,,,,,,,,
2,106,3,21.212795,17.794937,train,,,,,,,,,,,
2,107,3,21.447868,17.800447,train,,,,,,,,,,,
2,108,3,21.586744,17.81455,train,,,,,,,,,,,
2,110,3,21.756666,17.847155,train,,,,,,,,,,,
2,111,3,21.818703,17.858221,train,,,,,,,,,,,
2,112,3,21.866539,17.867931,train,,,,,,,,,,,
2,114,3,22.236107,17.890833,train,,,,,,,,,,,
2,115,3,22.284897,18.435816,train,,,,,,,,,,,
2,116,4,24.294676,22.520622,train,,,,,,,,,,,
2,117,4,24.333012,22.533201,train,,,,,,,,,,,
2,118,4,24.402016,22.549658,train,,,,,,,,,,,
2,119,4,24.42429,22.556929,train,,,,,,,,,,,
2,120,4,24.492838,22.574768,train,,,,,,,,,,,
2,121,4,24.56112,22.589647,train,,,,,,,,,,,
2,122,4,24.511354,22.606781,train,,,,,,,,,,,
2,124,4,24.53988,22.621405,train,,,,,,,,,,,
2,125,4,24.613422,22.641506,train,,,,,,,,,,,
2,126,4,24.756998,22.66438,train,,,,,,,,,,,
2,127,4,24.794134,22.683233,train,,,,,,,,,,,
2,129,4,24.970797,22.723108,train,,,,,,,,,,,
2,131,4,25.026752,22.760185,train,,,,,,,,,,,
2,132,4,25.13342,22.763361,train,,,,,,,,,,,
2,133,4,25.223764,22.76885,train,,,,,,,,,,,
2,135,4,25.386705,22.80319,train,,,,,,,,,,,
2,136,4,25.432796,22.581802,train,,,,,,,,,,,
2,139,4,25.672026,22.875082,train,,,,,,,,,,,
2,142,4,25.87076,22.92528,train,,,,,,,,,,,
2,143,4,25.86493,22.709394,train,,,,,,,,,,,
2,144,4,25.87076,22.724762,train,,,,,,,,,,,
2,145,4,25.88232,22.743975,train,,,,,,,,,,,
2,146,4,25.916224,22.759706,train,,,,,,,,,,,
2,147,4,25.943623,22.774315,train,,,,,,,,,,,
