sanction,neighbor,log_rgdp,log_pop,polity2,country_id,year_id,iso3st,year,country,incomegroup_t,region_t,exports,imports,sanction_shap,neighbor_shap,log_rgdp_shap,log_pop_shap,polity2_shap,country_id_shap,year_id_shap
0.0,0.0,22.2602674907348,4.580038398547061,-9.0,1.0,19.0,ALB,1980,Albania,Upper middle income,Europe & Central Asia,378073684.2,371431589.5,0.0074639872379637,0.0068861201333144,-2.413971723378044,-0.0216756715711958,0.0138172512856988,-0.0885858312500052,-0.4545370595604388
0.0,0.0,22.31613384787515,4.600068141566344,-9.0,1.0,20.0,ALB,1981,Albania,Upper middle income,Europe & Central Asia,430536142.2,403041958.0,0.0068224036878152,0.0051738673094292,-2.3833114870676693,-0.0138903294366704,0.0166057377811498,-0.0833338486901659,-0.4314334515489052
0.0,0.0,22.34519346534359,4.621200859382448,-9.0,1.0,21.0,ALB,1982,Albania,Upper middle income,Europe & Central Asia,373589755.2,460407913.8,0.0059147369656945,0.0040896123172574,-2.3140995004112304,-0.012530368511617,0.0136103613414112,-0.0915810274405804,-0.4008020964234423
0.0,0.0,22.356182249624922,4.642409712887303,-9.0,1.0,22.0,ALB,1983,Albania,Upper middle income,Europe & Central Asia,354685314.7,405606072.3,0.0061328952201413,0.0039181475593141,-2.2967408326239713,-0.0146539546545863,0.0140001082009478,-0.0862914925354591,-0.402888735189026
0.0,0.0,22.343587298709235,4.663449078967878,-9.0,1.0,23.0,ALB,1984,Albania,Upper middle income,Europe & Central Asia,335069930.1,372867132.9,0.0063074766112404,0.0040233963596254,-2.298323398119951,-0.0235369867163775,0.012526592437886,-0.0963372424772805,-0.3557550416471057
0.0,0.0,22.36123706074326,4.684009024994759,-9.0,1.0,24.0,ALB,1985,Albania,Upper middle income,Europe & Central Asia,319090897.4,362610722.6,0.0065350794552798,0.0035009055496596,-2.253488415187942,-0.0510642918153537,0.0086678046791745,-0.0974954450818239,-0.3207225955719259
0.0,0.0,22.416077865499492,4.703341233242213,-9.0,1.0,25.0,ALB,1986,Albania,Upper middle income,Europe & Central Asia,327312512.5,336224987.5,0.0063493464360571,0.0038208948391835,-2.206597663549219,-0.0636109577579358,0.0072424332154209,-0.096549347796192,-0.3303586790768047
0.0,0.0,22.408168240132422,4.72331163296302,-9.0,1.0,26.0,ALB,1987,Albania,Upper middle income,Europe & Central Asia,333550012.5,335624987.5,0.007693580091094,0.0029537369049859,-2.195496773473314,-0.0754244528851812,0.0057759987764001,-0.1015484472296532,-0.2693523714745084
0.0,0.0,22.39386605325533,4.742178737781731,-9.0,1.0,27.0,ALB,1988,Albania,Upper middle income,Europe & Central Asia,348287487.5,408575012.5,0.0078405647943059,0.0018723110953175,-2.251541375862591,-0.1203711754348493,0.0070730755584472,-0.1048471530646218,-0.2076358045205492
0.0,0.0,22.487689209481744,4.7690573579650675,-9.0,1.0,28.0,ALB,1989,Albania,Upper middle income,Europe & Central Asia,418924987.5,483800000.0,0.0081490400967923,0.0018096129549435,-2.2470532291427374,-0.1277973689949423,0.0080330034437721,-0.0988723744159283,-0.2088304178590144
0.0,0.0,22.387032721801493,4.787048213604187,1.0,1.0,29.0,ALB,1990,Albania,Upper middle income,Europe & Central Asia,312500000.0,487500000.0,0.0083148940040242,0.0008122846411028,-2.295869738936909,-0.1479840617741928,-0.020218939635251,-0.1182076973691026,-0.2145468678510143
0.0,0.0,22.058498909131824,4.781020116912397,3.0,1.0,30.0,ALB,1991,Albania,Upper middle income,Europe & Central Asia,82300000.0,314316659.7,0.0091436010925951,-0.0014259096642954,-2.7705164033195704,-0.2270884593139001,-0.0626095927301268,-0.2240967926630214,-0.169683863354091
0.0,0.0,21.9839142443446,4.774955769785441,5.0,1.0,31.0,ALB,1992,Albania,Upper middle income,Europe & Central Asia,81519209.68,627952433.9,0.0094340569873139,-0.0071133847972268,-2.8882578457264527,-0.190451703114379,-0.049379809118247,-0.2550824712081835,-0.1022145487438824
0.0,0.0,22.075211032950808,4.768854111963867,5.0,1.0,32.0,ALB,1993,Albania,Upper middle income,Europe & Central Asia,189399541.5,764996711.8,0.0093939254088044,-0.0016721566683966,-2.6119162113626535,-0.1836807908780211,-0.0246492769111334,-0.2099252715954161,0.0825437057066319
0.0,0.0,22.154972469526832,4.762715307032778,5.0,1.0,33.0,ALB,1994,Albania,Upper middle income,Europe & Central Asia,225407402.4,773426124.2,0.0092776258666821,-0.0001498302313803,-2.5297722392386928,-0.1886437927470755,-0.0222246361120277,-0.1795213249201124,0.1318383724580045
0.0,0.0,22.280038548886296,4.756538270556959,5.0,1.0,34.0,ALB,1995,Albania,Upper middle income,Europe & Central Asia,356444754.2,809621698.5,0.0084437726664073,-0.0010193295903104,-2.3931285797184443,-0.1911675894899637,-0.0246213048508653,-0.1419482909322984,0.1105768496676312
0.0,0.0,22.367133250486365,4.750323155843366,0.0,1.0,35.0,ALB,1996,Albania,Upper middle income,Europe & Central Asia,371808883.0,1064684091.0,0.0070534870027119,-0.0013680086189372,-2.335578578016366,-0.1870651274932153,-0.0153876721089596,-0.1294679395153675,0.0994440145277316
0.0,0.0,22.251498085702373,4.744068854980419,5.0,1.0,36.0,ALB,1997,Albania,Upper middle income,Europe & Central Asia,230303548.1,795639002.0,0.0056089337791406,-0.0032148660465376,-2.4840032522000524,-0.214088199038189,-0.0250458418669312,-0.1580774889825101,0.203034453557646
0.0,0.0,22.33610963655642,4.737775511194518,5.0,1.0,37.0,ALB,1998,Albania,Upper middle income,Europe & Central Asia,291949980.8,933614569.3,0.0051403881765271,-0.0036536796161202,-2.3968826257341656,-0.1934088543056506,-0.0279994267811844,-0.1410243510266899,0.1946343746290482
0.0,0.0,22.457360462650062,4.731441988563607,5.0,1.0,38.0,ALB,1999,Albania,Upper middle income,Europe & Central Asia,540977918.9,1097558438.0,0.00451536861349,-0.0034277829521421,-2.284804338500196,-0.1649347130668327,-0.0271214053853029,-0.1052541466133765,0.2196153493926818
0.0,0.0,22.52451633602052,4.7250684203669,5.0,1.0,39.0,ALB,2000,Albania,Upper middle income,Europe & Central Asia,700083432.9,1508343757.0,0.0040619227274717,-0.0029631287538009,-2.1583210866037277,-0.0524568025808997,-0.0266605016290903,-0.0823647382344924,0.3072095014235349
0.0,0.0,22.604189553519223,4.715683716032729,5.0,1.0,40.0,ALB,2001,Albania,Upper middle income,Europe & Central Asia,836717868.6,1771127115.0,0.0036730514406821,-0.0053402192050097,-1.971583382107108,-0.0607778245159567,-0.0201847502927974,-0.0867472088254747,0.4070647819681575
0.0,0.0,22.648555891444495,4.712684948688628,7.0,1.0,41.0,ALB,2002,Albania,Upper middle income,Europe & Central Asia,910729673.6,2068787029.0,0.0038850521072219,-0.0081139596710107,-1.7955922785758782,-0.1230644214620511,-0.0240077046717564,-0.0541417740400001,0.3933658685233481
0.0,0.0,22.702368066710005,4.708943457139561,7.0,1.0,42.0,ALB,2003,Albania,Upper middle income,Europe & Central Asia,1169850276.0,2591006000.0,0.0033368470572493,-0.0090611322932855,-1.6935673390390384,-0.1676015282506915,-0.0284488623080948,-0.0370228586238426,0.4338979820168036
0.0,0.0,22.756047856320276,4.704764143663826,7.0,1.0,43.0,ALB,2004,Albania,Upper middle income,Europe & Central Asia,1596261949.0,3220867773.0,0.0031439081773951,-0.009967854264477,-1.696671023206504,-0.2118052148277439,-0.0281157965831396,-0.0319508289593873,0.5230407782493343
0.0,0.0,22.80983905863454,4.699646242553787,9.0,1.0,44.0,ALB,2005,Albania,Upper middle income,Europe & Central Asia,1853023798.0,3853672282.0,0.0025369061932357,-0.0121837797960731,-1.709072689388447,-0.2579530226674852,0.0240202691750981,-0.0232423396170501,0.6467847269827219
0.0,0.0,22.86718923386146,4.693337129886362,9.0,1.0,45.0,ALB,2006,Albania,Upper middle income,Europe & Central Asia,2242665600.0,4364190391.0,0.0024916813720402,-0.012037668977016,-1.6123455711008696,-0.1606945161462858,0.0326335151531772,-0.0067208634126256,0.7732309532758586
0.0,0.0,22.92530020047153,4.685779942090044,9.0,1.0,46.0,ALB,2007,Albania,Upper middle income,Europe & Central Asia,3016116393.0,5867639980.0,0.002431006335116,-0.0177797854385665,-1.6249320050739755,-0.182990899258873,0.031267854773166,-0.0005713147735952,0.8268689800969198
0.0,0.0,22.99762124748475,4.678106512890643,9.0,1.0,47.0,ALB,2008,Albania,Upper middle income,Europe & Central Asia,3259293798.0,6717539641.0,0.0022059760498966,-0.0078479392805077,-1.4770954090103798,-0.0328052903180992,0.0179642754655464,-0.0005057921532088,0.9251022352855932
0.0,0.0,23.030613849907557,4.6713675720106735,9.0,1.0,48.0,ALB,2009,Albania,Upper middle income,Europe & Central Asia,3040047670.0,6004538202.0,0.0021506261523134,-0.005163313675569,-1.3925869938468485,0.0314308509210516,0.007016317726585,0.0004956864329215,0.9563305854081672
