fold,preindex,country_id,y_true,y_pred,dataset,mse,rmse,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
5,0,0,0.0,5.0384345,train,,,,,,,,,,,,,
5,2,0,0.0,5.0629716,train,,,,,,,,,,,,,
5,3,0,0.0,5.079112,train,,,,,,,,,,,,,
5,4,0,0.0,5.0881534,train,,,,,,,,,,,,,
5,5,1,0.0,2.3420808,train,,,,,,,,,,,,,
5,6,1,0.0,2.3720124,train,,,,,,,,,,,,,
5,7,1,0.0,2.3871272,train,,,,,,,,,,,,,
5,8,1,0.0,2.3922803,train,,,,,,,,,,,,,
5,9,1,0.0,2.3844483,train,,,,,,,,,,,,,
5,10,1,0.0,2.3932998,train,,,,,,,,,,,,,
5,11,1,0.0,2.422696,train,,,,,,,,,,,,,
5,12,1,0.0,2.4174893,train,,,,,,,,,,,,,
5,13,1,0.0,2.4088073,train,,,,,,,,,,,,,
5,14,1,0.0,2.4593625,train,,,,,,,,,,,,,
5,15,1,0.0,10.083449,train,,,,,,,,,,,,,
5,16,1,0.0,12.433355,train,,,,,,,,,,,,,
5,17,1,0.0,13.15788,train,,,,,,,,,,,,,
5,18,1,0.0,13.221111,train,,,,,,,,,,,,,
5,19,1,0.0,13.276467,train,,,,,,,,,,,,,
5,21,1,20.918896,11.664594,train,,,,,,,,,,,,,
5,24,1,21.103767,13.703086,train,,,,,,,,,,,,,
5,25,1,21.506165,13.742355,train,,,,,,,,,,,,,
5,26,1,21.647854,13.606376,train,,,,,,,,,,,,,
5,27,1,21.741493,14.105443,train,,,,,,,,,,,,,
5,28,1,21.791498,14.14267,train,,,,,,,,,,,,,
5,29,1,21.870459,14.179861,train,,,,,,,,,,,,,
5,30,1,22.02056,14.642543,train,,,,,,,,,,,,,
5,31,1,22.104038,14.675569,train,,,,,,,,,,,,,
5,32,1,22.300573,14.716616,train,,,,,,,,,,,,,
5,35,1,22.349447,14.816833,train,,,,,,,,,,,,,
5,37,1,22.33392,14.845119,train,,,,,,,,,,,,,
5,39,1,22.373909,14.866555,train,,,,,,,,,,,,,
5,40,1,22.3468,14.883585,train,,,,,,,,,,,,,
5,41,1,22.404816,14.908293,train,,,,,,,,,,,,,
5,42,1,22.468918,14.93637,train,,,,,,,,,,,,,
5,43,1,22.486023,14.966344,train,,,,,,,,,,,,,
5,44,2,22.699682,23.462912,train,,,,,,,,,,,,,
5,45,2,22.46382,21.099442,train,,,,,,,,,,,,,
5,46,2,22.779554,20.610954,train,,,,,,,,,,,,,
5,47,2,22.726292,20.558598,train,,,,,,,,,,,,,
5,48,2,23.161928,20.647839,train,,,,,,,,,,,,,
5,49,2,23.5428,20.655956,train,,,,,,,,,,,,,
5,50,2,23.45682,21.054007,train,,,,,,,,,,,,,
5,51,2,22.902042,21.04541,train,,,,,,,,,,,,,
5,54,2,22.73657,23.60626,train,,,,,,,,,,,,,
5,55,2,22.90096,23.649681,train,,,,,,,,,,,,,
5,56,2,23.009682,23.666798,train,,,,,,,,,,,,,
5,57,2,22.913082,23.653942,train,,,,,,,,,,,,,
5,58,2,22.73256,23.417149,train,,,,,,,,,,,,,
5,59,2,22.713377,23.599464,train,,,,,,,,,,,,,
5,60,2,23.301474,23.665176,train,,,,,,,,,,,,,
