fold,y_true_imports,y_pred_imports,y_true_exports,y_pred_exports,mse_imports,mse_exports,country_id
1,21.870459,14.253527,21.074625,13.826027,15.645124,16.14902,1
1,22.02056,14.820157,21.291885,14.311398,15.645124,16.14902,1
1,22.486023,15.271737,22.094843,14.767514,15.645124,16.14902,1
1,22.699682,23.22537,22.873095,22.677591,15.645124,16.14902,2
1,23.161928,20.033686,23.44138,19.48144,15.645124,16.14902,2
1,23.5428,20.041744,23.388582,19.489582,15.645124,16.14902,2
1,22.902042,20.530926,23.478018,20.135565,15.645124,16.14902,2
1,23.009682,23.888224,23.478018,23.13217,15.645124,16.14902,2
1,22.913082,23.870943,23.649612,23.113968,15.645124,16.14902,2
1,24.51326,23.029812,24.51375,22.469769,15.645124,16.14902,2
1,24.392147,23.186583,24.52773,22.547478,15.645124,16.14902,2
1,24.241945,23.834463,24.554773,23.109758,15.645124,16.14902,2
1,24.203876,24.067268,24.721476,23.311302,15.645124,16.14902,2
1,24.634594,24.285316,24.975296,23.53532,15.645124,16.14902,2
1,21.63288,13.587949,20.420889,13.205531,15.645124,16.14902,3
1,21.675083,17.194489,20.474154,16.762062,15.645124,16.14902,3
1,22.219234,17.590454,21.449594,17.171278,15.645124,16.14902,3
1,22.404602,18.116625,21.674166,17.715187,15.645124,16.14902,3
1,22.37723,18.184011,21.818703,17.784876,15.645124,16.14902,3
1,24.272648,24.025095,24.53988,23.308678,15.645124,16.14902,4
1,24.856567,24.270111,25.295252,23.557812,15.645124,16.14902,4
1,24.928902,24.30213,25.386705,23.590578,15.645124,16.14902,4
1,25.48544,24.501318,25.78586,23.794243,15.645124,16.14902,4
1,26.170004,24.889647,26.026571,24.154108,15.645124,16.14902,4
1,26.400019,24.822369,26.389692,24.119118,15.645124,16.14902,4
1,0.0,2.625174,0.0,2.0336444,15.645124,16.14902,5
1,0.0,0.6471599,0.0,0.060843572,15.645124,16.14902,5
1,0.0,0.18881287,0.0,-0.4197408,15.645124,16.14902,5
1,0.0,0.29664326,0.0,-0.31851545,15.645124,16.14902,5
1,0.0,0.46395695,0.0,-0.15301685,15.645124,16.14902,5
1,0.0,0.8751083,0.0,0.24480043,15.645124,16.14902,5
1,0.0,1.213266,0.0,0.57496154,15.645124,16.14902,5
1,0.0,1.251065,0.0,0.6116381,15.645124,16.14902,5
1,25.021145,24.282381,24.994127,23.515036,15.645124,16.14902,6
1,25.257683,24.422796,25.258411,23.659647,15.645124,16.14902,6
1,25.258741,24.43142,25.311747,23.668547,15.645124,16.14902,6
1,25.367657,24.48613,25.405397,23.724936,15.645124,16.14902,6
1,25.853165,24.672491,25.859064,23.916367,15.645124,16.14902,6
1,25.985956,25.607927,25.996265,24.737602,15.645124,16.14902,6
1,26.036472,25.625103,26.036472,24.755253,15.645124,16.14902,6
1,26.070374,25.656599,26.084558,24.787666,15.645124,16.14902,6
1,26.332737,25.769371,26.368713,24.903313,15.645124,16.14902,6
1,26.475838,25.415024,26.497818,24.679806,15.645124,16.14902,6
1,26.673908,24.566587,26.666065,23.979227,15.645124,16.14902,6
1,26.749132,24.594265,26.734533,24.00769,15.645124,16.14902,6
1,20.373356,18.733992,19.582342,18.507154,15.645124,16.14902,7
1,20.927958,18.873793,20.152662,18.651386,15.645124,16.14902,7
1,20.752968,18.965176,19.940784,18.745726,15.645124,16.14902,7
1,20.155975,18.9445,19.681007,18.72322,15.645124,16.14902,7
1,20.45882,19.994654,20.240292,19.820457,15.645124,16.14902,7
1,20.821608,21.834103,20.741045,21.224321,15.645124,16.14902,7
1,20.875206,21.87935,20.723312,21.270597,15.645124,16.14902,7
1,20.872965,21.945559,20.78551,21.337412,15.645124,16.14902,7
1,21.00899,22.041256,20.908112,21.433542,15.645124,16.14902,7
1,21.10012,22.318998,21.05041,21.624336,15.645124,16.14902,7
1,21.111277,22.363125,21.01473,21.667995,15.645124,16.14902,7
1,23.059694,24.366667,23.181879,23.514872,15.645124,16.14902,8
1,23.020447,21.41646,23.300447,21.21927,15.645124,16.14902,8
1,23.645077,22.507027,23.813831,22.136953,15.645124,16.14902,8
1,23.829483,22.692732,23.865017,22.317072,15.645124,16.14902,8
1,24.242329,22.99979,24.198065,22.615078,15.645124,16.14902,8
1,24.30288,23.026617,24.1464,22.641102,15.645124,16.14902,8
1,21.69213,21.98202,21.322012,21.137833,15.645124,16.14902,9
1,21.768076,22.036806,21.61795,21.192698,15.645124,16.14902,9
1,22.078793,22.113499,21.804394,21.270182,15.645124,16.14902,9
1,22.071482,22.143227,21.856081,21.300318,15.645124,16.14902,9
1,22.150455,22.210648,22.083944,21.368841,15.645124,16.14902,9
1,22.493301,22.35755,22.419003,21.550137,15.645124,16.14902,9
1,23.257887,21.998564,22.985071,21.350288,15.645124,16.14902,9
1,25.24314,23.44326,24.99675,23.106815,15.645124,16.14902,10
1,25.080585,23.39235,25.017359,23.058203,15.645124,16.14902,10
1,25.29839,25.223318,25.30789,24.444187,15.645124,16.14902,10
1,25.377226,25.254694,25.117191,24.476234,15.645124,16.14902,10
1,26.410242,25.676497,26.107761,24.906654,15.645124,16.14902,10
1,21.98468,20.288092,22.49153,20.05934,15.645124,16.14902,11
1,22.357754,21.713373,23.067629,21.374672,15.645124,16.14902,11
1,23.004887,23.416567,23.57041,22.67828,15.645124,16.14902,11
1,23.0721,23.479258,23.687601,22.742495,15.645124,16.14902,11
1,23.401993,24.104624,23.852718,23.372133,15.645124,16.14902,11
1,23.498384,24.14345,23.962717,23.411938,15.645124,16.14902,11
1,23.956385,24.332106,24.29698,23.60651,15.645124,16.14902,11
1,24.161943,24.899996,24.658861,24.026669,15.645124,16.14902,11
1,24.508787,25.004278,24.83096,24.133678,15.645124,16.14902,11
1,25.092001,25.295967,25.001745,24.402607,15.645124,16.14902,11
1,25.015345,25.323002,24.982756,24.42996,15.645124,16.14902,11
