sanction,neighbor,log_rgdp,log_pop,polity2,country_id,year_id,iso3st,year,country,incomegroup_t,region_t,exports,imports,sanction_shap,neighbor_shap,log_rgdp_shap,log_pop_shap,polity2_shap,country_id_shap,year_id_shap
0.0,0.0,22.2602674907348,4.580038398547061,-9.0,1.0,19.0,ALB,1980,Albania,Upper middle income,Europe & Central Asia,378073684.2,371431589.5,0.0049125578193666,0.0034706305864748,-2.2690005105062117,-0.0293414787977294,-0.0256575427409799,-0.0996164176446724,-0.4130636609142455
0.0,0.0,22.31613384787515,4.600068141566344,-9.0,1.0,20.0,ALB,1981,Albania,Upper middle income,Europe & Central Asia,430536142.2,403041958.0,0.0049401090600818,0.0036122939549345,-2.2343989371287862,-0.0194745239471286,-0.02617221962195,-0.1011887035997369,-0.3937677020345615
0.0,0.0,22.34519346534359,4.621200859382448,-9.0,1.0,21.0,ALB,1982,Albania,Upper middle income,Europe & Central Asia,373589755.2,460407913.8,0.0048740612895971,0.0029386056167412,-2.18819744361047,-0.0059515294635588,-0.0247746104929841,-0.1030508776829758,-0.379753469509057
0.0,0.0,22.356182249624922,4.642409712887303,-9.0,1.0,22.0,ALB,1983,Albania,Upper middle income,Europe & Central Asia,354685314.7,405606072.3,0.0048579387557558,0.0029628063086407,-2.1867999896786605,-0.0073510007590576,-0.0260436682068684,-0.102915972314707,-0.381044184926219
0.0,0.0,22.343587298709235,4.663449078967878,-9.0,1.0,23.0,ALB,1984,Albania,Upper middle income,Europe & Central Asia,335069930.1,372867132.9,0.0048466658376755,0.0028918589948081,-2.192253384868996,-0.0119191627933249,-0.0270374221033844,-0.1012732461422804,-0.3751139008984527
0.0,0.0,22.36123706074326,4.684009024994759,-9.0,1.0,24.0,ALB,1985,Albania,Upper middle income,Europe & Central Asia,319090897.4,362610722.6,0.0048696731191605,0.002878797909794,-2.1820080053540623,-0.01521084578772,-0.0347186425143829,-0.1062250791718826,-0.3686732636130757
0.0,0.0,22.416077865499492,4.703341233242213,-9.0,1.0,25.0,ALB,1986,Albania,Upper middle income,Europe & Central Asia,327312512.5,336224987.5,0.0048558837627468,0.0017189178949231,-2.1634610262554697,-0.0199083049629165,-0.0355996919139342,-0.1120089705912848,-0.3800586889045869
0.0,0.0,22.408168240132422,4.72331163296302,-9.0,1.0,26.0,ALB,1987,Albania,Upper middle income,Europe & Central Asia,333550012.5,335624987.5,0.0053242363647572,0.0012235916415122,-2.0851007895102165,-0.0307183600980848,-0.072525656090988,-0.131344217997479,-0.2382694447792916
0.0,0.0,22.39386605325533,4.742178737781731,-9.0,1.0,27.0,ALB,1988,Albania,Upper middle income,Europe & Central Asia,348287487.5,408575012.5,0.0053931186498437,0.0011139587654663,-1.975288172930386,-0.0303659735207444,-0.0583605894027502,-0.1341657079683949,-0.0412900291080346
0.0,0.0,22.487689209481744,4.7690573579650675,-9.0,1.0,28.0,ALB,1989,Albania,Upper middle income,Europe & Central Asia,418924987.5,483800000.0,0.0058357191768044,0.0009504603478576,-1.987379079645164,-0.0630341512356796,-0.0663062976355212,-0.1299111425017458,-0.0648312168156926
