fold,preindex,country_id,y_true_imports,y_pred_imports,y_true_exports,y_pred_exports,mse_imports,mse_exports,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
1,29,1,21.870459,15.141589,21.074625,15.2751045,14.119536,13.809969,-0.1545774459838929,0.26639292490482075,-0.43017574753612037,-0.3936598206882638,2.0547489748174947,-3.0986673207109163
1,30,1,22.02056,15.684198,21.291885,15.837962,14.119536,13.809969,-0.14665378153324596,0.2562583158016182,-0.4242012400850682,-0.40156057706723813,2.601172195243342,-3.0983441327735712
1,43,1,22.486023,15.8015175,22.094843,15.966138,14.119536,13.809969,-0.14595445473988522,0.2541877957979817,-0.2844021587148353,-0.4252046412502698,2.604891794664167,-3.099528449115658
1,44,2,22.699682,24.012783,22.873095,24.058979,14.119536,13.809969,0.36138930911818334,0.24795466192562818,0.6714849376877186,0.47410040796796665,1.0030543404519476,4.3572717934549
1,48,2,23.161928,19.678564,23.44138,19.727707,14.119536,13.809969,-0.24716815010706164,0.29238271770875,0.7720523998339947,0.5459528795878118,-4.801337807734805,6.219154432435818
1,49,2,23.5428,19.68929,23.388582,19.738417,14.119536,13.809969,-0.2472547955512992,0.29233174866437905,0.7775279160241311,0.5524566066563128,-4.801885314871865,6.218585332165155
1,51,2,22.902042,20.271965,23.478018,20.290678,14.119536,13.809969,-0.22576037454605308,0.2809000727732924,0.7370650921662681,0.5617965063254025,-4.116391429503756,6.13682755970955
1,56,2,23.009682,24.13886,23.478018,24.230726,14.119536,13.809969,-0.14279837608338145,0.24524671959876448,0.7237955977320718,0.5378839400410689,1.5682709985375327,4.308934222757827
1,57,2,22.913082,24.140944,23.649612,24.23222,14.119536,13.809969,-0.14280574909846308,0.24522559420267132,0.7201249722441044,0.5437976846098961,1.5682448999285634,4.3088285254041425
1,67,2,24.51326,23.559984,24.51375,23.62181,14.119536,13.809969,0.3571124551544496,-0.7840775518317927,0.8192949030846345,0.6108070089817067,1.2857211870153773,4.37359860481818
1,69,2,24.392147,23.775278,24.52773,23.850607,14.119536,13.809969,0.35289610097805907,-0.7821127393195954,0.8088449814418918,0.6170338385452767,1.5409460676163464,4.3401422422379206
1,70,2,24.241945,24.730822,24.554773,24.804111,14.119536,13.809969,0.35158618529636365,0.2456957277854196,0.8000469752351513,0.6188485489487723,1.5190679275989512,4.298048644701647
1,73,2,24.203876,24.324183,24.721476,24.415892,14.119536,13.809969,-0.14250996573765623,0.24541025920709553,0.8173857812980749,0.6249479938050104,1.5710687301258257,4.3103521117468615
1,76,2,24.634594,24.421383,24.975296,24.516775,14.119536,13.809969,-0.14237302939097815,0.2454232573906508,0.8964807392855557,0.6397966584861335,1.5718528099954117,4.312674868355196
1,93,3,21.63288,14.833283,20.420889,14.946398,14.119536,13.809969,-0.251641319990157,0.29819379788637124,-0.7152472688828923,-0.2910155912215476,-3.5305409269407435,2.426007133595646
1,96,3,21.675083,18.702457,20.474154,18.753595,14.119536,13.809969,-0.14574170478185147,0.2515476747552511,-0.68863374103357,-0.3757156030957843,0.967467060076692,1.7960061421270135
1,100,3,22.219234,18.826101,21.449594,18.88553,14.119536,13.809969,-0.14633700195948338,0.25183640960851617,-0.55826990919808,-0.38679281726976333,0.9675047103017576,1.800632311686874
1,109,3,22.404602,18.987577,21.674166,19.058105,14.119536,13.809969,-0.14688791306813637,0.25228735045592066,-0.38596707309037387,-0.4053812010660816,0.9688537525360794,1.8071449226563192
1,111,3,22.37723,19.007591,21.818703,19.07956,14.119536,13.809969,-0.14692982371647853,0.25238202931484033,-0.3642136265238197,-0.40835786894957776,0.9691297656496372,1.8080531718532276
1,124,4,24.272648,24.152172,24.53988,24.281004,14.119536,13.809969,0.3444436501314259,-0.7772164311707113,0.8552136073410547,0.27021947780748196,2.0209223349491783,4.541061849633852
1,134,4,24.856567,24.318037,25.295252,24.4493,14.119536,13.809969,0.34353455007821804,-0.7777311793913532,0.9591679163103326,0.32724899853269457,2.0241634310508827,4.544125716569515
1,135,4,24.928902,24.335167,25.386705,24.466885,14.119536,13.809969,0.3433997255985977,-0.777777026665723,0.9714237581764704,0.3314305034652332,2.0246012968048497,4.544561073842151
1,141,4,25.48544,24.445393,25.78586,24.579834,14.119536,13.809969,0.3426170971766133,-0.7779311801244777,1.0481859863574257,0.36015611839791173,2.0276370069012035,4.547199980003137
1,149,4,26.170004,24.140055,26.026571,24.294579,14.119536,13.809969,-0.1415799873669977,-0.7796574440325204,1.1362236359765137,0.3950954351797699,2.0848685821145745,4.547576880956685
1,157,4,26.400019,24.697323,26.389692,24.83391,14.119536,13.809969,0.3410572787995121,-0.7779916903674589,1.1925933417603365,0.46107403153677423,2.0320335464701067,4.551028737328949
1,163,5,0.0,0.4052415,0.0,0.8047565,14.119536,13.809969,-0.15332218969861652,0.20127776719629736,-0.26060118490581935,-0.05283940312638982,-3.9593752748010096,-12.267425825184826
1,166,5,0.0,-0.42218062,0.0,-0.2597956,14.119536,13.809969,-0.15917138128603486,0.20000906151905637,-0.2452249057057001,-0.03459042559439791,-5.249661742415285,-11.831068829264488
1,168,5,0.0,-0.6574379,0.0,-0.56144357,14.119536,13.809969,-0.166371536246191,0.20003811745345573,-0.2159168302540948,-0.022798847835508465,-5.723031763419516,-11.626884660199284
1,170,5,0.0,-0.64716876,0.0,-0.53258276,14.119536,13.809969,-0.1651988173425184,0.20001827291399474,-0.17775387855122335,-0.017269827445345415,-5.7326469766746015,-11.651845128362382
1,173,5,0.0,-0.632648,0.0,-0.4924533,14.119536,13.809969,-0.16438177374253712,0.19987253421172735,-0.12554579238468982,-0.007917312649386608,-5.747429636320726,-11.684773610225573
1,175,5,0.0,-0.6034049,0.0,-0.41094974,14.119536,13.809969,-0.1624393473143375,0.19938666461532317,-0.022305296531568496,0.00080628920594887,-5.775181619935982,-11.741199169540156
1,178,5,0.0,-0.5617279,0.0,-0.32965496,14.119536,13.809969,-0.16071734304105248,0.1992731542177507,0.05835435726369235,0.02309446348870806,-5.795751791602623,-11.78350832168882
1,179,5,0.0,-0.5558289,0.0,-0.31928632,14.119536,13.809969,-0.160542406765123,0.19926037779947214,0.06775174310306792,0.02763239869723572,-5.798731935215497,-11.78872670649737
1,188,6,25.021145,24.95423,24.994127,25.066385,14.119536,13.809969,0.3362551572546417,-0.7734798073048502,0.5946937556341322,0.08480917964130925,1.9622045658826868,5.852218903819714
1,194,6,25.257683,25.009071,25.258411,25.123833,14.119536,13.809969,0.33589405053357513,-0.7737653615375386,0.6428099705427919,0.0876889029344,1.9642142685303998,5.854701919163263
1,196,6,25.258741,25.01204,25.311747,25.126972,14.119536,13.809969,0.335872580041496,-0.7737835205868017,0.6456457227741732,0.08757874876757753,1.964336506826179,5.854861546816924
1,199,6,25.367657,25.032469,25.405397,25.148449,14.119536,13.809969,0.33575052662938626,-0.773908021713292,0.66409365170697,0.08804287075747598,1.96509805099666,5.855864117468402
1,208,6,25.853165,25.116228,25.859064,25.23534,14.119536,13.809969,0.3354434420106285,-0.7743895191587563,0.7309524877034218,0.10000005874658964,1.9675289092796489,5.859165125125398
1,210,6,25.985956,25.66409,25.996265,25.801273,14.119536,13.809969,-0.1409977919260683,0.23789031020799462,0.7539298699821039,0.09926564077784712,1.9836850899383474,5.832788483969869
1,211,6,26.036472,25.671583,26.036472,25.809065,14.119536,13.809969,-0.14099153359731176,0.2379077703356807,0.760092734766504,0.10017006592204494,1.9838326537733184,5.833043884528179
1,212,6,26.070374,25.684423,26.084558,25.822474,14.119536,13.809969,-0.14097940874099,0.23794499365488977,0.7711408663466499,0.1011711536422271,1.984091033158208,5.833527208663524
1,218,6,26.332737,25.73942,26.368713,25.879232,14.119536,13.809969,-0.14092986202240268,0.23805703035990766,0.8132381265213061,0.11126366752882799,1.9850963908881076,5.8351669839272775
1,221,6,26.475838,25.328493,26.497818,25.439219,14.119536,13.809969,-0.1416137889226253,0.24037089894215047,0.8425471839755773,0.11654421490926979,1.5002353645811553,5.872881644869841
1,229,6,26.673908,24.850662,26.666065,24.944181,14.119536,13.809969,0.3407601019019969,-0.779752456622827,0.856507628031078,0.1452167236084795,1.4847684205646263,5.905634214031194
1,231,6,26.749132,24.865534,26.734533,24.959448,14.119536,13.809969,0.34070425412306665,-0.7798216194982243,0.8670747082705269,0.1486941369200739,1.4849428481782536,5.90641190081089
1,233,7,20.373356,17.719276,19.582342,17.675444,14.119536,13.809969,0.5895395741984271,-0.8556443685914044,-0.7249762104575848,-0.31661994286626594,-3.4450366199339477,5.574486395942667
1,237,7,20.927958,17.8207,20.152662,17.778576,14.119536,13.809969,0.5887987371037404,-0.8554353517641584,-0.6680884148081159,-0.28071428461869957,-3.438852644075954,5.577464050004884
1,239,7,20.752968,17.88065,19.940784,17.839724,14.119536,13.809969,0.5883261025697039,-0.8552967142636503,-0.6324364268382439,-0.2614627921705486,-3.435386430673303,5.579378228095668
1,246,7,20.155975,17.991747,19.681007,17.948984,14.119536,13.809969,0.5912293622990403,-0.8565492090284893,-0.6073898054932536,-0.18014347023020194,-3.4299957759976336,5.577068200985593
1,247,7,20.45882,19.21888,20.240292,19.151373,14.119536,13.809969,0.39902982991437447,-0.7617170440480063,-0.6758531141405318,-0.17492803352326408,-1.0637347128987344,4.598555174472429
1,251,7,20.821608,21.69578,20.741045,21.710947,14.119536,13.809969,0.36411443847169545,0.24552303816875015,-0.627619663226123,-0.12399669095377597,1.0095258637045903,3.930705214319137
1,252,7,20.875206,21.723898,20.723312,21.739592,14.119536,13.809969,0.36415879303217263,0.24559886141618717,-0.608472607704507,-0.11577864640703353,1.0096201581805992,3.9312437755117777
1,254,7,20.872965,21.7788,20.78551,21.79485,14.119536,13.809969,0.36440132204940623,0.2457170126438107,-0.5765061426945036,-0.09411498968676388,1.0097418418551476,3.932032412908974
1,257,7,21.00899,21.864943,20.908112,21.88129,14.119536,13.809969,0.36483521361896704,0.24592041657369004,-0.5283091579725341,-0.0581268688514847,1.009938598689935,3.9331567486698416
1,259,7,21.10012,21.483776,21.05041,21.518555,14.119536,13.809969,-0.14482666524251037,0.244334661960604,-0.4970234496419736,-0.04059691229711956,1.0587300936455581,3.9656307641739734
1,261,7,21.111277,21.533686,21.01473,21.568289,14.119536,13.809969,-0.144934060255685,0.24448353010416327,-0.47194331549108604,-0.016743758097293768,1.059059427191818,3.9662362608214203
1,279,8,23.059694,26.096611,23.181879,26.137068,14.119536,13.809969,-0.14204271586736836,0.23498379566271582,-0.12576522661496972,0.08938177799930815,1.4550358047659135,7.687489987072855
1,282,8,23.020447,22.797483,23.300447,22.671663,14.119536,13.809969,0.4043432848701834,-0.7925514711638358,-0.10902066999177186,0.10035159685711156,-3.3022236594979892,9.599056763209404
1,289,8,23.645077,23.342506,23.813831,23.226625,14.119536,13.809969,-0.16447651624680096,0.23882440245150927,0.02532625605662879,0.08716490114729097,-3.356202833607792,9.614342598959805
1,291,8,23.829483,23.401737,23.865017,23.289623,14.119536,13.809969,-0.16412321027120097,0.23874183869361829,0.0840398488516665,0.0826003801698462,-3.3569709811384474,9.619921736898519
1,296,8,24.242329,23.503206,24.198065,23.39722,14.119536,13.809969,-0.16350155226390292,0.2386166884501732,0.1815648055548469,0.07640893645832826,-3.3583332510615307,9.630923025983078
1,298,8,24.30288,23.511723,24.1464,23.406279,14.119536,13.809969,-0.1634478823343951,0.23860935701926334,0.18989243984471155,0.07549902796000305,-3.3584955603753586,9.632137582652277
1,315,9,21.69213,22.625614,21.322012,22.697222,14.119536,13.809969,0.3516268692910606,0.24360957400003533,-0.3582894269538447,-0.08386595463628325,1.7612188711265744,3.8137866335014587
1,318,9,21.768076,22.681168,21.61795,22.752758,14.119536,13.809969,0.3519050187394106,0.24369797054926354,-0.32900833086918213,-0.05867972557743622,1.7615711992209127,3.8141538705453293
1,321,9,22.078793,22.744015,21.804394,22.81604,14.119536,13.809969,0.35208549628407043,0.24380316805839464,-0.2922783197139705,-0.034005206222337055,1.7620360956266485,3.8148459060266635
1,322,9,22.071482,22.766151,21.856081,22.838411,14.119536,13.809969,0.3521264861474439,0.24383875576655195,-0.2786834381123434,-0.026006360813983168,1.7622107834667033,3.815137601837519
1,324,9,22.150455,22.812464,22.083944,22.885374,14.119536,13.809969,0.352166711928938,0.24391337986787487,-0.24898754031708648,-0.010590361580255862,1.7625992641126178,3.8158347064331233
1,332,9,22.493301,22.290863,22.419003,22.367691,14.119536,13.809969,-0.1438954025904357,0.24373047308126636,-0.17054363426317784,0.04188124349962114,1.5729549895400783,3.849207767911258
1,347,9,23.257887,21.439516,22.985071,21.50864,14.119536,13.809969,-0.1451770127614377,-0.7853455186362135,0.05623140300561698,0.14067149446407828,1.3414058583453399,3.934202243156734
1,353,10,25.24314,22.110266,24.99675,22.058788,14.119536,13.809969,-0.16194041562080608,0.2582814882596307,1.0362546451961034,1.1423752510622152,-2.099378919295969,5.037146082279584
1,354,10,25.080585,22.106525,25.017359,22.05332,14.119536,13.809969,-0.16185496449470071,0.25844084064166073,1.0249140735318305,1.1494347801655551,-2.098721905921907,5.0367849972893755
1,367,10,25.29839,25.157726,25.30789,25.215223,14.119536,13.809969,0.35077019182841296,0.24675053350130813,1.10057423923413,1.2219598226745898,1.55419163117807,3.785952269494521
1,368,10,25.377226,25.177982,25.117191,25.235823,14.119536,13.809969,0.35067719276745146,0.24674455642699686,1.113232758382962,1.2288804636597677,1.554426010350385,3.786493748803938
1,387,10,26.410242,25.45504,26.107761,25.517336,14.119536,13.809969,0.34923597002029616,0.24670822127659425,1.2843854223688487,1.3254945505658815,1.5578103841741893,3.7938778296907696
1,393,11,21.98468,19.897884,22.49153,19.871008,14.119536,13.809969,-0.1907853657404649,-0.8357152955258855,0.07848747032135575,0.13170799542466605,-3.4050406541277924,7.221702618613841
1,402,11,22.357754,21.331509,23.067629,21.256874,14.119536,13.809969,-0.164912144740419,0.25056550298134994,0.1624585486948489,0.1858087927202403,-2.8769118402501004,6.876972177137924
1,407,11,23.004887,23.209229,23.57041,23.290108,14.119536,13.809969,-0.14378783988952573,-0.7803270148485922,0.2677119403754667,0.19641035055369288,1.523440789205324,5.2482526902978694
1,408,11,23.0721,23.241339,23.687601,23.323153,14.119536,13.809969,-0.14375171105067358,-0.7803839430362036,0.29180505457272354,0.2032359815662145,1.5239308202986848,5.248974927576889
1,410,11,23.401993,24.716492,23.852718,24.781382,14.119536,13.809969,0.3481931216021439,0.2414612125555735,0.343903905987739,0.2225480677783468,1.4752993228534916,5.187558468510691
1,411,11,23.498384,24.73917,23.962717,24.804556,14.119536,13.809969,0.3481698740819986,0.24150157932440408,0.3596584309389257,0.22866126835843723,1.4756911997497095,5.187960122078651
1,414,11,23.956385,24.831602,24.29698,24.899935,14.119536,13.809969,0.34793713455398584,0.24170154984792575,0.43112383801738124,0.24568004310131067,1.477538688878218,5.190093242228031
1,420,11,24.161943,24.708334,24.658861,24.811502,14.119536,13.809969,-0.14232249021530455,0.2406093406677203,0.495710742712021,0.2698687526782389,1.7640564113060622,5.182883612036708
1,422,11,24.508787,24.757635,24.83096,24.86248,14.119536,13.809969,-0.14226958560944067,0.2407336722612352,0.5346292048990712,0.2778789621094825,1.7649015816152078,5.184233681370827
