fold,preindex,country_id,y_true,y_pred,dataset,mse,rmse,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
2,1,0,0.0,5.9036245,train,,,,,,,,,,,,,
2,2,0,0.0,5.9187284,train,,,,,,,,,,,,,
2,3,0,0.0,5.9362545,train,,,,,,,,,,,,,
2,4,0,0.0,5.9455094,train,,,,,,,,,,,,,
2,5,1,0.0,7.312661,train,,,,,,,,,,,,,
2,8,1,0.0,7.3708224,train,,,,,,,,,,,,,
2,9,1,0.0,7.362575,train,,,,,,,,,,,,,
2,11,1,0.0,7.4066834,train,,,,,,,,,,,,,
2,12,1,0.0,7.401362,train,,,,,,,,,,,,,
2,13,1,0.0,7.392099,train,,,,,,,,,,,,,
2,14,1,0.0,7.4497066,train,,,,,,,,,,,,,
2,15,1,0.0,13.64826,train,,,,,,,,,,,,,
2,17,1,0.0,15.799343,train,,,,,,,,,,,,,
2,20,1,20.537579,16.11962,train,,,,,,,,,,,,,
2,21,1,20.918896,14.173014,train,,,,,,,,,,,,,
2,22,1,20.82798,16.099737,train,,,,,,,,,,,,,
2,23,1,20.96032,16.164051,train,,,,,,,,,,,,,
2,24,1,21.103767,16.25588,train,,,,,,,,,,,,,
2,25,1,21.506165,16.29333,train,,,,,,,,,,,,,
2,26,1,21.647854,16.111336,train,,,,,,,,,,,,,
2,28,1,21.791498,16.5595,train,,,,,,,,,,,,,
2,29,1,21.870459,16.590464,train,,,,,,,,,,,,,
2,30,1,22.02056,16.904638,train,,,,,,,,,,,,,
2,31,1,22.104038,16.937544,train,,,,,,,,,,,,,
2,32,1,22.300573,16.97072,train,,,,,,,,,,,,,
2,33,1,22.349419,17.012255,train,,,,,,,,,,,,,
2,34,1,22.355192,17.030748,train,,,,,,,,,,,,,
2,35,1,22.349447,17.051497,train,,,,,,,,,,,,,
2,36,1,22.405745,17.06593,train,,,,,,,,,,,,,
2,37,1,22.33392,17.073988,train,,,,,,,,,,,,,
2,38,1,22.327463,17.079603,train,,,,,,,,,,,,,
2,40,1,22.3468,17.102201,train,,,,,,,,,,,,,
2,41,1,22.404816,17.121191,train,,,,,,,,,,,,,
2,42,1,22.468918,17.143053,train,,,,,,,,,,,,,
2,43,1,22.486023,17.165926,train,,,,,,,,,,,,,
2,44,2,22.699682,23.750025,train,,,,,,,,,,,,,
2,45,2,22.46382,20.389135,train,,,,,,,,,,,,,
2,46,2,22.779554,20.19102,train,,,,,,,,,,,,,
2,50,2,23.45682,20.626078,train,,,,,,,,,,,,,
2,51,2,22.902042,20.625418,train,,,,,,,,,,,,,
2,52,2,22.830292,24.002237,train,,,,,,,,,,,,,
2,53,2,22.876268,24.01349,train,,,,,,,,,,,,,
2,54,2,22.73657,23.985632,train,,,,,,,,,,,,,
2,55,2,22.90096,24.021883,train,,,,,,,,,,,,,
2,56,2,23.009682,24.0394,train,,,,,,,,,,,,,
2,57,2,22.913082,24.035547,train,,,,,,,,,,,,,
2,58,2,22.73256,23.809565,train,,,,,,,,,,,,,
2,59,2,22.713377,23.988691,train,,,,,,,,,,,,,
2,60,2,23.301474,24.040825,train,,,,,,,,,,,,,
2,61,2,23.806385,23.347935,train,,,,,,,,,,,,,
2,63,2,24.136168,23.429583,train,,,,,,,,,,,,,
2,64,2,24.032953,23.415138,train,,,,,,,,,,,,,
2,65,2,24.19447,23.44782,train,,,,,,,,,,,,,
2,66,2,24.432474,23.494228,train,,,,,,,,,,,,,
2,67,2,24.51326,23.5176,train,,,,,,,,,,,,,
2,68,2,24.393724,23.664068,train,,,,,,,,,,,,,
2,70,2,24.241945,24.375917,train,,,,,,,,,,,,,
2,71,2,23.547606,24.141876,train,,,,,,,,,,,,,
2,73,2,24.203876,24.242182,train,,,,,,,,,,,,,
2,74,2,24.350988,24.291925,train,,,,,,,,,,,,,
2,76,2,24.634594,24.387976,train,,,,,,,,,,,,,
2,77,2,24.761774,24.412098,train,,,,,,,,,,,,,
2,78,2,24.558231,23.811615,train,,,,,,,,,,,,,
2,79,2,24.85985,23.86711,train,,,,,,,,,,,,,
2,80,2,25.058935,24.640871,train,,,,,,,,,,,,,
2,81,2,25.010498,24.63674,train,,,,,,,,,,,,,
2,83,2,24.926651,24.639217,train,,,,,,,,,,,,,
2,84,2,24.972687,24.81179,train,,,,,,,,,,,,,
2,86,2,25.174122,24.818998,train,,,,,,,,,,,,,
2,87,2,25.128483,24.805414,train,,,,,,,,,,,,,
2,88,3,0.0,20.053534,train,,,,,,,,,,,,,
2,90,3,0.0,19.499285,train,,,,,,,,,,,,,
2,91,3,21.98352,19.52521,train,,,,,,,,,,,,,
2,92,3,21.63712,18.619059,train,,,,,,,,,,,,,
2,93,3,21.63288,16.84656,train,,,,,,,,,,,,,
2,94,3,21.745415,16.871645,train,,,,,,,,,,,,,
2,95,3,21.692238,19.458906,train,,,,,,,,,,,,,
2,96,3,21.675083,19.475595,train,,,,,,,,,,,,,
2,97,3,21.74296,19.506178,train,,,,,,,,,,,,,
2,98,3,21.809383,19.556261,train,,,,,,,,,,,,,
2,99,3,21.977005,19.624964,train,,,,,,,,,,,,,
2,100,3,22.219234,19.698,train,,,,,,,,,,,,,
2,101,3,22.185999,19.753527,train,,,,,,,,,,,,,
2,102,3,22.318401,19.826178,train,,,,,,,,,,,,,
2,103,3,22.355322,19.89522,train,,,,,,,,,,,,,
2,106,3,22.335129,19.916374,train,,,,,,,,,,,,,
2,107,3,22.455574,19.927729,train,,,,,,,,,,,,,
2,108,3,22.432306,19.952784,train,,,,,,,,,,,,,
2,110,3,22.404602,20.008982,train,,,,,,,,,,,,,
