fold,preindex,country_id,y_true,y_pred,dataset,mse,rmse,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
1,0,0,0.0,5.258119,train,27.647816,5.258119,1.0,1.0,23.704496,17.303381,-1.0,-0.03271731067945525,0.151720289409161,-0.3511164653239171,-0.4369195261187841,-1.6567825094275213,-8.1553701596794
1,1,0,0.0,5.259647,train,27.663885,5.259647,1.0,1.0,23.718906,17.334595,-1.0,-0.03287971579283127,0.1517512440880153,-0.3401305648771418,-0.44523888300235215,-1.6570319500329573,-8.156128025947766
1,2,0,0.0,5.2691674,train,27.764126,5.2691674,1.0,1.0,23.741257,17.36041,-1.0,-0.03299438412238786,0.1518005663355209,-0.3231760625528801,-0.45238880835349354,-1.65711751250054,-8.156261640507728
1,3,0,0.0,5.2807765,train,27.8866,5.2807765,1.0,1.0,23.767384,17.389074,-1.0,-0.03311914341896532,0.15185486350456864,-0.303383152493586,-0.46036545437946874,-1.6571810636483117,-8.156334813812132
1,4,0,0.0,5.2810025,train,27.888988,5.2810025,1.0,1.0,23.779205,17.417927,-1.0,-0.03327044344196663,0.15187706629435185,-0.2944091851847872,-0.4680592893299968,-1.6573620030793066,-8.15707936553036
1,5,1,0.0,3.0043654,train,9.026212,3.0043654,1.0,0.0,22.260267,14.798337,-9.0,-0.058605529983837355,-0.5359784108052653,-1.327745210016766,0.13962024208903467,-6.194927539482716,-4.75730313414832
1,6,1,0.0,3.0408053,train,9.246497,3.0408053,1.0,0.0,22.316133,14.818367,-9.0,-0.05878059999147726,-0.5356123707145453,-1.2872714608361322,0.13793243085345003,-6.197513474717744,-4.75725373447438
1,7,1,0.0,3.0575538,train,9.348635,3.0575538,1.0,0.0,22.345194,14.839499,-9.0,-0.05893155105908677,-0.5356402698804924,-1.2660046459585432,0.1351252318918734,-6.198446303382515,-4.757853958403076
1,8,1,0.0,3.0611627,train,9.370717,3.0611627,1.0,0.0,22.356182,14.860708,-9.0,-0.0590635024706528,-0.5359335439254814,-1.257714313909411,0.1317509071330234,-6.198331897114716,-4.7588497276355834
1,9,1,0.0,3.047685,train,9.2883835,3.047685,1.0,0.0,22.343588,14.881747,-9.0,-0.059166588544843274,-0.5365181106378621,-1.2664583075990279,0.12766074888904816,-6.196808504000312,-4.760329595143594
1,10,1,0.0,3.0562642,train,9.340751,3.0562642,1.0,0.0,22.361237,14.9023075,-9.0,-0.059293771028516504,-0.536672128165759,-1.2534374861766895,0.12455255026618926,-6.197055518165238,-4.761134272779029
1,11,1,0.0,3.0921047,train,9.561111,3.0921047,1.0,0.0,22.416079,14.921639,-9.0,-0.059440240263935185,-0.536244072263438,-1.2136637830187877,0.12269451927145306,-6.199476999099064,-4.761070493027566
1,12,1,0.0,3.0822468,train,9.500245,3.0822468,1.0,0.0,22.408169,14.94161,-9.0,-0.059540737907091905,-0.536739000921446,-1.2191076389004756,0.11896508088708077,-6.198250836705173,-4.762385589425764
