sanction_shap,neighbor_shap,log_rgdp_shap,log_pop_shap,polity2_shap,country_id_shap,year_id_shap
0.007463987237963798,0.006886120133314434,-2.4139717233780438,-0.021675671571195834,0.013817251285698802,-0.08858583125000527,-0.4545370595604388
0.006822403687815227,0.005173867309429275,-2.3833114870676693,-0.013890329436670451,0.016605737781149862,-0.08333384869016594,-0.4314334515489052
0.005914736965694525,0.004089612317257417,-2.3140995004112304,-0.012530368511617037,0.013610361341411227,-0.09158102744058046,-0.4008020964234423
0.006132895220141387,0.00391814755931419,-2.2967408326239713,-0.014653954654586372,0.01400010820094786,-0.0862914925354591,-0.40288873518902607
0.006307476611240464,0.004023396359625466,-2.298323398119951,-0.023536986716377533,0.01252659243788608,-0.09633724247728051,-0.35575504164710575
0.006535079455279834,0.003500905549659635,-2.2534884151879426,-0.051064291815353706,0.008667804679174504,-0.09749544508182398,-0.3207225955719259
0.00634934643605713,0.003820894839183577,-2.206597663549219,-0.06361095775793586,0.007242433215420985,-0.09654934779619209,-0.3303586790768047
0.0076935800910940665,0.002953736904985998,-2.1954967734733146,-0.07542445288518124,0.0057759987764001664,-0.1015484472296532,-0.26935237147450847
0.007840564794305989,0.001872311095317535,-2.251541375862591,-0.1203711754348493,0.0070730755584472406,-0.10484715306462189,-0.20763580452054925
0.008149040096792329,0.0018096129549435701,-2.2470532291427374,-0.12779736899494237,0.00803300344377217,-0.09887237441592833,-0.20883041785901446
0.00831489400402429,0.0008122846411028358,-2.295869738936909,-0.1479840617741928,-0.02021893963525101,-0.11820769736910261,-0.2145468678510143
0.009143601092595122,-0.0014259096642954708,-2.7705164033195704,-0.22708845931390018,-0.06260959273012688,-0.2240967926630214,-0.169683863354091
0.009434056987313916,-0.007113384797226861,-2.8882578457264527,-0.190451703114379,-0.049379809118247,-0.2550824712081835,-0.10221454874388242
0.009393925408804417,-0.0016721566683966305,-2.6119162113626535,-0.1836807908780211,-0.024649276911133472,-0.20992527159541613,0.08254370570663196
0.009277625866682104,-0.00014983023138036687,-2.5297722392386928,-0.18864379274707557,-0.02222463611202772,-0.17952132492011247,0.1318383724580045
0.008443772666407329,-0.0010193295903104251,-2.3931285797184443,-0.19116758948996376,-0.024621304850865312,-0.14194829093229844,0.11057684966763129
0.007053487002711997,-0.0013680086189372111,-2.3355785780163654,-0.18706512749321533,-0.015387672108959636,-0.12946793951536756,0.09944401452773169
0.0056089337791406105,-0.0032148660465376585,-2.4840032522000524,-0.214088199038189,-0.025045841866931297,-0.15807748898251017,0.20303445355764602
0.005140388176527114,-0.0036536796161202234,-2.3968826257341656,-0.19340885430565063,-0.027999426781184424,-0.14102435102668998,0.19463437462904828
0.004515368613490008,-0.0034277829521421332,-2.284804338500196,-0.16493471306683277,-0.027121405385302916,-0.10525414661337659,0.21961534939268185
0.004061922727471702,-0.0029631287538009338,-2.1583210866037277,-0.0524568025808997,-0.026660501629090325,-0.08236473823449247,0.3072095014235349
0.003673051440682127,-0.005340219205009787,-1.971583382107108,-0.06077782451595677,-0.020184750292797433,-0.08674720882547471,0.40706478196815754
0.003885052107221943,-0.008113959671010747,-1.7955922785758782,-0.12306442146205117,-0.024007704671756447,-0.05414177404000011,0.39336586852334815
0.003336847057249325,-0.009061132293285585,-1.6935673390390384,-0.16760152825069158,-0.028448862308094874,-0.03702285862384269,0.4338979820168036
0.003143908177395196,-0.009967854264477001,-1.696671023206504,-0.21180521482774392,-0.028115796583139677,-0.031950828959387396,0.5230407782493343
0.00253690619323574,-0.012183779796073171,-1.709072689388447,-0.25795302266748527,0.02402026917509811,-0.023242339617050117,0.6467847269827219
0.0024916813720402492,-0.01203766897701605,-1.6123455711008696,-0.16069451614628583,0.032633515153177216,-0.0067208634126256234,0.7732309532758586
0.0024310063351160984,-0.017779785438566557,-1.6249320050739757,-0.18299089925887302,0.031267854773166015,-0.0005713147735952234,0.8268689800969198
0.0022059760498966104,-0.007847939280507721,-1.4770954090103798,-0.03280529031809924,0.017964275465546447,-0.0005057921532088508,0.9251022352855933
0.0021506261523134545,-0.005163313675569008,-1.3925869938468485,0.0314308509210516,0.007016317726585041,0.0004956864329215481,0.9563305854081671
0.00240256852495069,-0.004422947884226681,-1.3164677169870602,0.018294653490706123,0.0044208117052964456,-0.0019176131385047284,1.0055419708206317
0.002654118882541264,-0.004119131400274681,-1.2711133716092355,0.025652803685772062,0.0027479778274602253,-0.0033403128602519545,1.015063118036274
0.0028565153917944927,-0.00407553530425699,-1.2436452415449215,0.027102271571872737,0.002686038109388477,-0.0029723757581839143,0.9875303678712918
0.0029427336467989715,0.006866870083754166,-1.2392721288465365,0.021857221421054368,0.004386612537628975,-0.003996426695206465,0.9775024990831122
0.003951952406048082,0.006336428945047266,-1.2036607358787041,0.021141491195858883,0.005002113224295037,-0.0038989105225394,0.9486423282977151
-0.04173094330838237,0.005645338586114391,-1.1851111983463565,0.014163156138248907,0.00888697856192452,-0.0030036924085955147,1.003240346819309
-0.04635092560926614,0.005337788660203293,-1.0873485516394097,0.01793896577945145,0.01439627889766268,0.008503021234480731,1.034406363304551
-0.056330165041569846,0.0052104043188396666,-1.0150791404093555,0.017973640515133144,0.018541520277074067,0.013819292800810085,1.0590769030443854
-0.056412476554402374,0.005001438106489491,-0.9805710345419585,0.04530499291154201,0.01867107774403565,0.016742144759082467,1.0777997953065088
0.009223154592666333,-0.0019332320050050424,-0.4653168346527196,0.03379880825611509,0.08314090619855773,0.030253772811787955,-1.8327622307721805
0.01348146606339934,-0.005341202254843957,-0.17095809191242875,0.050976345393304104,0.07815736973376301,0.030504551691774365,-1.9262087464627005
0.013767489836980477,-0.005124517403755872,-0.12728342210241214,0.051939001353116576,0.0653667225133334,0.026933983983188598,-1.9499144450498997
0.01235803418676702,-0.004721989075954615,-0.11650635158393195,0.05022581347999563,0.0690946117763208,0.024447702175886706,-1.9620057558334691
0.01213535853984115,-0.005107947730241596,-0.13226977398010578,0.049662106834121734,0.07381492449757704,0.023167707146693577,-1.9263570659323521
0.01105018872984781,-0.004350524539355341,-0.09142554082169553,0.05174477567642938,0.06797598636260412,0.02324152460877335,-1.9604534832339677
0.00996022080126125,-0.004499768945662671,0.01744393536565902,0.05564930544298704,0.035678389869590696,0.022344778297983474,-1.8933371610551812
