fold,preindex,country_id,y_true,y_pred,dataset,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
5,0,0,0.0,6.3494444,train,,,,,,,,,,,
5,2,0,0.0,6.373967,train,,,,,,,,,,,
5,3,0,0.0,6.3902216,train,,,,,,,,,,,
5,4,0,0.0,6.399149,train,,,,,,,,,,,
5,5,1,0.0,2.5961761,train,,,,,,,,,,,
5,6,1,0.0,2.6275482,train,,,,,,,,,,,
5,7,1,0.0,2.645588,train,,,,,,,,,,,
5,8,1,0.0,2.6545327,train,,,,,,,,,,,
5,9,1,0.0,2.6515656,train,,,,,,,,,,,
5,10,1,0.0,2.6637623,train,,,,,,,,,,,
5,11,1,0.0,2.6945057,train,,,,,,,,,,,
5,12,1,0.0,2.6937282,train,,,,,,,,,,,
5,13,1,0.0,2.6895509,train,,,,,,,,,,,
5,14,1,0.0,2.7411523,train,,,,,,,,,,,
5,15,1,0.0,9.761208,train,,,,,,,,,,,
5,16,1,0.0,11.777006,train,,,,,,,,,,,
5,17,1,0.0,12.871201,train,,,,,,,,,,,
5,18,1,0.0,12.926205,train,,,,,,,,,,,
5,19,1,0.0,12.974268,train,,,,,,,,,,,
5,21,1,19.648336,9.85504,train,,,,,,,,,,,
5,24,1,20.286638,12.95232,train,,,,,,,,,,,
5,25,1,20.615088,12.981849,train,,,,,,,,,,,
5,26,1,20.758808,13.188557,train,,,,,,,,,,,
5,27,1,20.793716,14.214214,train,,,,,,,,,,,
5,28,1,20.905018,14.246172,train,,,,,,,,,,,
5,29,1,21.074625,14.278046,train,,,,,,,,,,,
5,30,1,21.291885,14.84555,train,,,,,,,,,,,
5,31,1,21.448269,14.88325,train,,,,,,,,,,,
5,32,1,21.623165,14.921488,train,,,,,,,,,,,
5,35,1,21.797422,15.014764,train,,,,,,,,,,,
5,37,1,21.864962,15.040539,train,,,,,,,,,,,
5,39,1,21.87903,15.058683,train,,,,,,,,,,,
5,40,1,21.856247,15.073126,train,,,,,,,,,,,
5,41,1,21.929243,15.0945015,train,,,,,,,,,,,
5,42,1,22.05115,15.118932,train,,,,,,,,,,,
5,43,1,22.094843,15.144775,train,,,,,,,,,,,
5,44,2,22.873095,24.29742,train,,,,,,,,,,,
5,45,2,23.147066,20.24855,train,,,,,,,,,,,
5,46,2,23.388582,20.285065,train,,,,,,,,,,,
5,47,2,23.473907,20.265366,train,,,,,,,,,,,
5,48,2,23.44138,20.317049,train,,,,,,,,,,,
5,49,2,23.388582,20.327763,train,,,,,,,,,,,
5,50,2,23.439312,20.867912,train,,,,,,,,,,,
5,51,2,23.478018,20.86351,train,,,,,,,,,,,
5,54,2,23.621828,24.808859,train,,,,,,,,,,,
5,55,2,23.513458,24.847425,train,,,,,,,,,,,
5,56,2,23.478018,24.864395,train,,,,,,,,,,,
5,57,2,23.649612,24.856754,train,,,,,,,,,,,
5,58,2,23.721285,24.581738,train,,,,,,,,,,,
5,59,2,23.886898,24.544983,train,,,,,,,,,,,
5,60,2,23.849983,24.599403,train,,,,,,,,,,,
5,61,2,23.839632,24.090382,train,,,,,,,,,,,
5,62,2,23.878693,24.13898,train,,,,,,,,,,,
5,63,2,24.02102,24.174082,train,,,,,,,,,,,
5,66,2,24.412788,24.238312,train,,,,,,,,,,,
5,69,2,24.52773,24.462006,train,,,,,,,,,,,
5,71,2,24.585234,24.941353,train,,,,,,,,,,,
5,72,2,24.64346,24.996397,train,,,,,,,,,,,
5,73,2,24.721476,25.0526,train,,,,,,,,,,,
5,74,2,24.842691,25.107733,train,,,,,,,,,,,
5,75,2,24.896812,25.158016,train,,,,,,,,,,,
5,76,2,24.975296,25.21409,train,,,,,,,,,,,
5,77,2,24.982666,25.239784,train,,,,,,,,,,,
5,78,2,24.884535,24.610714,train,,,,,,,,,,,
5,79,2,25.014658,24.669577,train,,,,,,,,,,,
5,80,2,25.05531,25.264645,train,,,,,,,,,,,
5,82,2,24.97752,25.272728,train,,,,,,,,,,,
5,83,2,24.905174,25.255737,train,,,,,,,,,,,
5,84,2,24.877007,25.499002,train,,,,,,,,,,,
5,85,2,24.928816,25.48492,train,,,,,,,,,,,
5,87,2,24.961073,25.485104,train,,,,,,,,,,,
5,88,3,0.0,18.431479,train,,,,,,,,,,,
5,89,3,0.0,18.116251,train,,,,,,,,,,,
5,90,3,0.0,18.058372,train,,,,,,,,,,,
5,91,3,21.002556,18.090183,train,,,,,,,,,,,
5,92,3,20.345243,17.029211,train,,,,,,,,,,,
5,93,3,20.420889,13.839286,train,,,,,,,,,,,
5,94,3,20.349607,13.857586,train,,,,,,,,,,,
5,95,3,20.348906,18.008896,train,,,,,,,,,,,
5,96,3,20.474154,18.028656,train,,,,,,,,,,,
5,97,3,20.646084,18.063753,train,,,,,,,,,,,
5,100,3,21.449594,18.277262,train,,,,,,,,,,,
5,101,3,21.42423,18.341389,train,,,,,,,,,,,
5,102,3,21.575127,18.426685,train,,,,,,,,,,,
5,103,3,21.498903,18.507973,train,,,,,,,,,,,
5,104,3,21.46319,18.59216,train,,,,,,,,,,,
5,105,3,21.32301,18.63601,train,,,,,,,,,,,
5,106,3,21.212795,18.536835,train,,,,,,,,,,,
5,109,3,21.674166,18.627094,train,,,,,,,,,,,
5,110,3,21.756666,18.648468,train,,,,,,,,,,,
5,112,3,21.866539,18.69244,train,,,,,,,,,,,
5,113,3,22.059635,18.693886,train,,,,,,,,,,,
5,114,3,22.236107,18.74133,train,,,,,,,,,,,
5,116,4,24.294676,24.466995,train,,,,,,,,,,,
5,117,4,24.333012,24.483288,train,,,,,,,,,,,
5,118,4,24.402016,24.505848,train,,,,,,,,,,,
5,119,4,24.42429,24.511354,train,,,,,,,,,,,
5,120,4,24.492838,24.53675,train,,,,,,,,,,,
5,121,4,24.56112,24.555801,train,,,,,,,,,,,
5,122,4,24.511354,24.576685,train,,,,,,,,,,,
5,123,4,24.53469,24.597446,train,,,,,,,,,,,
5,124,4,24.53988,24.582664,train,,,,,,,,,,,
5,125,4,24.613422,24.611387,train,,,,,,,,,,,
5,127,4,24.794134,24.669111,train,,,,,,,,,,,
5,128,4,24.88967,24.685112,train,,,,,,,,,,,
5,130,4,24.981106,24.745094,train,,,,,,,,,,,
5,131,4,25.026752,24.767471,train,,,,,,,,,,,
5,132,4,25.13342,24.764748,train,,,,,,,,,,,
5,133,4,25.223764,24.767288,train,,,,,,,,,,,
5,134,4,25.295252,24.792706,train,,,,,,,,,,,
5,136,4,25.432796,24.874975,train,,,,,,,,,,,
5,137,4,25.527287,24.86625,train,,,,,,,,,,,
5,138,4,25.62854,24.890793,train,,,,,,,,,,,
5,139,4,25.672026,24.919691,train,,,,,,,,,,,
5,140,4,25.693079,24.95068,train,,,,,,,,,,,
5,141,4,25.78586,24.975142,train,,,,,,,,,,,
5,142,4,25.87076,24.987925,train,,,,,,,,,,,
5,143,4,25.86493,25.045858,train,,,,,,,,,,,
5,145,4,25.88232,25.091824,train,,,,,,,,,,,
5,146,4,25.916224,25.111614,train,,,,,,,,,,,
5,148,4,25.985956,25.152355,train,,,,,,,,,,,
5,149,4,26.026571,25.17458,train,,,,,,,,,,,
5,151,4,26.093904,25.167007,train,,,,,,,,,,,
5,153,4,26.148216,25.20633,train,,,,,,,,,,,
5,154,4,26.19973,25.222412,train,,,,,,,,,,,
5,156,4,26.325384,25.252008,train,,,,,,,,,,,
5,158,4,26.440294,25.283306,train,,,,,,,,,,,
5,159,4,26.482168,25.30135,train,,,,,,,,,,,
5,160,5,0.0,0.43445975,train,,,,,,,,,,,
5,161,5,0.0,3.131476,train,,,,,,,,,,,
5,162,5,0.0,0.3983708,train,,,,,,,,,,,
5,163,5,0.0,0.3225093,train,,,,,,,,,,,
5,164,5,0.0,-0.8752412,train,,,,,,,,,,,
5,166,5,0.0,-0.8667396,train,,,,,,,,,,,
5,167,5,0.0,-1.0607979,train,,,,,,,,,,,
5,168,5,0.0,-1.0522065,train,,,,,,,,,,,
5,170,5,0.0,-1.0283191,train,,,,,,,,,,,
5,171,5,0.0,-1.0175369,train,,,,,,,,,,,
5,173,5,0.0,-0.9953239,train,,,,,,,,,,,
5,175,5,0.0,-0.93079996,train,,,,,,,,,,,
5,176,5,0.0,-0.90423995,train,,,,,,,,,,,
5,177,5,0.0,-0.8903706,train,,,,,,,,,,,
5,178,5,0.0,-0.8774409,train,,,,,,,,,,,
5,179,5,0.0,-0.8702832,train,,,,,,,,,,,
5,180,5,0.0,-0.87037873,train,,,,,,,,,,,
5,181,5,0.0,-0.8674183,train,,,,,,,,,,,
5,182,5,0.0,-0.8591995,train,,,,,,,,,,,
5,183,5,0.0,-0.8553676,train,,,,,,,,,,,
5,184,5,23.721996,-0.85396194,train,,,,,,,,,,,
5,186,5,0.0,-0.85877573,train,,,,,,,,,,,
5,187,5,0.0,-0.8567079,train,,,,,,,,,,,
5,188,6,24.994127,25.21776,train,,,,,,,,,,,
5,189,6,25.115168,25.253193,train,,,,,,,,,,,
5,190,6,25.136341,25.844767,train,,,,,,,,,,,
5,191,6,25.15894,25.864258,train,,,,,,,,,,,
5,192,6,25.226562,25.290161,train,,,,,,,,,,,
5,193,6,25.225058,25.318186,train,,,,,,,,,,,
5,194,6,25.258411,25.316381,train,,,,,,,,,,,
5,195,6,25.28582,25.320213,train,,,,,,,,,,,
5,197,6,25.377226,25.33794,train,,,,,,,,,,,
5,198,6,25.377226,25.348501,train,,,,,,,,,,,
5,199,6,25.405397,25.360146,train,,,,,,,,,,,
5,200,6,25.450653,25.374836,train,,,,,,,,,,,
5,201,6,25.543547,25.404541,train,,,,,,,,,,,
5,202,6,25.621105,25.426468,train,,,,,,,,,,,
5,204,6,25.699999,25.457977,train,,,,,,,,,,,
5,205,6,25.733902,25.4677,train,,,,,,,,,,,
5,206,6,25.727213,25.461388,train,,,,,,,,,,,
5,207,6,25.810862,25.481812,train,,,,,,,,,,,
5,209,6,25.90505,26.108181,train,,,,,,,,,,,
5,210,6,25.996265,26.13245,train,,,,,,,,,,,
5,211,6,26.036472,26.145086,train,,,,,,,,,,,
5,212,6,26.084558,26.167778,train,,,,,,,,,,,
5,213,6,26.203905,26.191563,train,,,,,,,,,,,
5,215,6,26.240719,26.209534,train,,,,,,,,,,,
5,217,6,26.317978,26.238956,train,,,,,,,,,,,
5,218,6,26.368713,26.253792,train,,,,,,,,,,,
5,219,6,26.427048,26.270063,train,,,,,,,,,,,
5,220,6,26.479008,25.841467,train,,,,,,,,,,,
5,221,6,26.497818,25.844131,train,,,,,,,,,,,
5,222,6,26.375755,25.830528,train,,,,,,,,,,,
5,223,6,26.475838,25.848703,train,,,,,,,,,,,
5,226,6,26.519323,25.866745,train,,,,,,,,,,,
5,228,6,26.606588,25.88988,train,,,,,,,,,,,
5,229,6,26.666065,25.283707,train,,,,,,,,,,,
5,231,6,26.734533,25.305367,train,,,,,,,,,,,
5,233,7,19.582342,17.777863,train,,,,,,,,,,,
5,234,7,19.650637,17.808113,train,,,,,,,,,,,
5,236,7,20.049692,17.855526,train,,,,,,,,,,,
5,237,7,20.152662,17.89621,train,,,,,,,,,,,
5,238,7,20.240599,17.95481,train,,,,,,,,,,,
5,239,7,19.940784,17.968918,train,,,,,,,,,,,
5,241,7,19.936052,17.989605,train,,,,,,,,,,,
5,242,7,20.180315,18.034607,train,,,,,,,,,,,
5,243,7,19.926846,18.048359,train,,,,,,,,,,,
5,244,7,19.862593,18.039745,train,,,,,,,,,,,
5,245,7,19.661646,18.060852,train,,,,,,,,,,,
5,247,7,20.240292,19.682938,train,,,,,,,,,,,
5,249,7,20.590244,21.737995,train,,,,,,,,,,,
5,250,7,20.716846,21.774353,train,,,,,,,,,,,
5,251,7,20.741045,21.788055,train,,,,,,,,,,,
5,253,7,20.695093,21.851475,train,,,,,,,,,,,
5,254,7,20.78551,21.886627,train,,,,,,,,,,,
5,256,7,21.01981,21.944466,train,,,,,,,,,,,
5,257,7,20.908112,21.980373,train,,,,,,,,,,,
5,258,7,20.954884,22.013268,train,,,,,,,,,,,
5,260,7,21.068228,22.083614,train,,,,,,,,,,,
5,261,7,21.01473,22.111263,train,,,,,,,,,,,
5,262,7,21.110338,22.122662,train,,,,,,,,,,,
5,263,7,21.107384,22.369278,train,,,,,,,,,,,
5,264,7,21.348248,22.406597,train,,,,,,,,,,,
5,265,7,21.4444,22.436918,train,,,,,,,,,,,
5,266,7,21.39453,22.435186,train,,,,,,,,,,,
5,267,7,21.441393,22.44912,train,,,,,,,,,,,
5,268,7,21.339241,22.468102,train,,,,,,,,,,,
5,269,7,21.555124,22.497911,train,,,,,,,,,,,
5,271,7,21.982643,22.580128,train,,,,,,,,,,,
5,272,7,21.7583,22.592062,train,,,,,,,,,,,
5,273,7,21.88477,22.61327,train,,,,,,,,,,,
5,274,7,21.952427,22.648071,train,,,,,,,,,,,
5,275,7,22.001217,22.688747,train,,,,,,,,,,,
5,277,8,23.447554,24.92893,train,,,,,,,,,,,
5,279,8,23.181879,25.16634,train,,,,,,,,,,,
5,280,8,22.933418,22.93008,train,,,,,,,,,,,
5,281,8,23.008526,21.576046,train,,,,,,,,,,,
5,282,8,23.300447,21.636581,train,,,,,,,,,,,
5,284,8,23.28146,21.586622,train,,,,,,,,,,,
5,285,8,23.401018,21.731308,train,,,,,,,,,,,
5,286,8,23.52405,21.756794,train,,,,,,,,,,,
5,287,8,23.60476,22.191605,train,,,,,,,,,,,
5,289,8,23.813831,22.289707,train,,,,,,,,,,,
5,290,8,23.78646,22.339676,train,,,,,,,,,,,
5,291,8,23.865017,22.392822,train,,,,,,,,,,,
5,292,8,23.91951,22.438911,train,,,,,,,,,,,
5,293,8,23.940294,22.493408,train,,,,,,,,,,,
5,294,8,23.858734,22.494242,train,,,,,,,,,,,
5,295,8,23.932627,22.536434,train,,,,,,,,,,,
5,296,8,24.198065,22.56577,train,,,,,,,,,,,
5,298,8,24.1464,22.580639,train,,,,,,,,,,,
5,299,8,24.191374,22.590385,train,,,,,,,,,,,
5,300,8,24.212164,22.568466,train,,,,,,,,,,,
5,301,8,24.237831,22.554104,train,,,,,,,,,,,
5,302,8,24.309738,22.568113,train,,,,,,,,,,,
5,303,8,24.347034,22.58538,train,,,,,,,,,,,
5,304,9,21.508085,18.59952,train,,,,,,,,,,,
5,305,9,21.61027,18.628542,train,,,,,,,,,,,
5,306,9,21.589972,18.659723,train,,,,,,,,,,,
5,308,9,21.575071,19.614618,train,,,,,,,,,,,
5,309,9,21.52601,18.531733,train,,,,,,,,,,,
5,310,9,21.538858,18.53387,train,,,,,,,,,,,
5,311,9,21.398195,21.939548,train,,,,,,,,,,,
5,312,9,21.417059,21.894989,train,,,,,,,,,,,
5,313,9,21.354486,21.894348,train,,,,,,,,,,,
5,314,9,21.146946,22.33085,train,,,,,,,,,,,
5,316,9,21.333,22.331505,train,,,,,,,,,,,
5,317,9,21.397934,22.349834,train,,,,,,,,,,,
5,319,9,21.722927,22.40181,train,,,,,,,,,,,
5,320,9,21.793327,22.433918,train,,,,,,,,,,,
5,321,9,21.804394,22.444693,train,,,,,,,,,,,
5,322,9,21.856081,22.470978,train,,,,,,,,,,,
5,323,9,21.996681,22.499561,train,,,,,,,,,,,
5,325,9,22.123825,22.554947,train,,,,,,,,,,,
5,326,9,22.102497,22.585152,train,,,,,,,,,,,
5,327,9,22.165306,22.61578,train,,,,,,,,,,,
5,328,9,22.028286,22.073566,train,,,,,,,,,,,
5,329,9,22.1684,22.089384,train,,,,,,,,,,,
5,330,9,22.248848,22.645824,train,,,,,,,,,,,
5,331,9,22.304218,22.669186,train,,,,,,,,,,,
5,332,9,22.419003,22.47277,train,,,,,,,,,,,
5,333,9,22.572758,22.498535,train,,,,,,,,,,,
5,334,9,22.652828,22.525768,train,,,,,,,,,,,
5,335,9,22.760218,22.555225,train,,,,,,,,,,,
5,337,9,22.812155,22.620678,train,,,,,,,,,,,
5,338,9,22.698362,21.850452,train,,,,,,,,,,,
5,340,9,22.83724,21.924253,train,,,,,,,,,,,
5,341,9,22.96207,21.955355,train,,,,,,,,,,,
5,344,9,23.044338,22.058641,train,,,,,,,,,,,
5,346,9,22.934473,22.11036,train,,,,,,,,,,,
5,347,9,22.985071,22.136166,train,,,,,,,,,,,
5,348,10,24.58627,21.89275,train,,,,,,,,,,,
5,350,10,24.579508,22.675114,train,,,,,,,,,,,
5,351,10,24.70395,22.669502,train,,,,,,,,,,,
5,353,10,24.99675,22.764423,train,,,,,,,,,,,
5,354,10,25.017359,22.739346,train,,,,,,,,,,,
5,355,10,24.82733,22.973602,train,,,,,,,,,,,
