fold,preindex,country_id,y_true,y_pred,dataset,sanction,neighbor,log_rgdp,log_pop,polity2,shap_sanction,shap_neighbor,shap_log_rgdp,shap_log_pop,shap_polity2,shap_country_id
4,0,0,0.0,4.7596116,train,,,,,,,,,,,
4,1,0,0.0,4.7813134,train,,,,,,,,,,,
4,2,0,0.0,4.801391,train,,,,,,,,,,,
4,3,0,0.0,4.8239503,train,,,,,,,,,,,
4,6,1,0.0,4.0635824,train,,,,,,,,,,,
4,7,1,0.0,4.084194,train,,,,,,,,,,,
4,9,1,0.0,4.092283,train,,,,,,,,,,,
4,10,1,0.0,4.1064353,train,,,,,,,,,,,
4,11,1,0.0,4.140971,train,,,,,,,,,,,
4,14,1,0.0,4.194664,train,,,,,,,,,,,
4,16,1,0.0,13.479202,train,,,,,,,,,,,
4,17,1,0.0,14.120987,train,,,,,,,,,,,
4,18,1,0.0,14.148298,train,,,,,,,,,,,
4,19,1,0.0,14.171845,train,,,,,,,,,,,
4,20,1,19.503517,14.632259,train,,,,,,,,,,,
4,21,1,19.648336,12.6365795,train,,,,,,,,,,,
4,22,1,19.446531,14.61792,train,,,,,,,,,,,
4,23,1,19.737957,14.644365,train,,,,,,,,,,,
4,24,1,20.286638,14.683261,train,,,,,,,,,,,
4,26,1,20.758808,14.303318,train,,,,,,,,,,,
4,27,1,20.793716,15.129108,train,,,,,,,,,,,
4,29,1,21.074625,15.169561,train,,,,,,,,,,,
4,31,1,21.448269,16.223223,train,,,,,,,,,,,
4,32,1,21.623165,16.244396,train,,,,,,,,,,,
4,33,1,21.575806,16.271114,train,,,,,,,,,,,
4,34,1,21.621843,16.282616,train,,,,,,,,,,,
4,35,1,21.797422,16.295828,train,,,,,,,,,,,
4,36,1,21.86203,16.305109,train,,,,,,,,,,,
4,37,1,21.864962,16.310276,train,,,,,,,,,,,
4,38,1,21.880728,16.313793,train,,,,,,,,,,,
4,39,1,21.87903,16.320248,train,,,,,,,,,,,
4,40,1,21.856247,16.328232,train,,,,,,,,,,,
4,41,1,21.929243,16.340675,train,,,,,,,,,,,
4,42,1,22.05115,16.355106,train,,,,,,,,,,,
4,43,1,22.094843,16.37003,train,,,,,,,,,,,
4,45,2,23.147066,20.910473,train,,,,,,,,,,,
4,47,2,23.473907,19.981632,train,,,,,,,,,,,
4,48,2,23.44138,20.029585,train,,,,,,,,,,,
4,49,2,23.388582,20.042484,train,,,,,,,,,,,
4,51,2,23.478018,20.696238,train,,,,,,,,,,,
4,52,2,23.503517,24.258728,train,,,,,,,,,,,
4,53,2,23.47726,24.268175,train,,,,,,,,,,,
4,55,2,23.513458,24.277779,train,,,,,,,,,,,
4,56,2,23.478018,24.291283,train,,,,,,,,,,,
4,57,2,23.649612,24.290815,train,,,,,,,,,,,
4,58,2,23.721285,23.8018,train,,,,,,,,,,,
4,59,2,23.886898,24.06063,train,,,,,,,,,,,
4,61,2,23.839632,23.017841,train,,,,,,,,,,,
4,62,2,23.878693,23.05458,train,,,,,,,,,,,
4,63,2,24.02102,23.081902,train,,,,,,,,,,,
4,64,2,24.224192,23.072872,train,,,,,,,,,,,
4,65,2,24.297876,23.09874,train,,,,,,,,,,,
4,67,2,24.51375,23.153545,train,,,,,,,,,,,
4,68,2,24.501066,23.559052,train,,,,,,,,,,,
4,69,2,24.52773,23.556133,train,,,,,,,,,,,
4,70,2,24.554773,24.614277,train,,,,,,,,,,,
4,71,2,24.585234,24.38461,train,,,,,,,,,,,
4,72,2,24.64346,24.418476,train,,,,,,,,,,,
4,73,2,24.721476,24.45296,train,,,,,,,,,,,
4,75,2,24.896812,24.518051,train,,,,,,,,,,,
4,76,2,24.975296,24.55244,train,,,,,,,,,,,
4,78,2,24.884535,23.677025,train,,,,,,,,,,,
4,79,2,25.014658,23.723335,train,,,,,,,,,,,
4,80,2,25.05531,24.830956,train,,,,,,,,,,,
4,81,2,25.013357,24.826893,train,,,,,,,,,,,
4,82,2,24.97752,24.839115,train,,,,,,,,,,,
4,83,2,24.905174,24.82779,train,,,,,,,,,,,
4,84,2,24.877007,25.319551,train,,,,,,,,,,,
4,85,2,24.928816,25.313675,train,,,,,,,,,,,
4,86,2,24.954634,25.326626,train,,,,,,,,,,,
4,87,2,24.961073,25.318531,train,,,,,,,,,,,
4,89,3,0.0,18.722412,train,,,,,,,,,,,
4,90,3,0.0,18.680294,train,,,,,,,,,,,
4,91,3,21.002556,18.693954,train,,,,,,,,,,,
4,93,3,20.420889,15.648805,train,,,,,,,,,,,
4,95,3,20.348906,18.393549,train,,,,,,,,,,,
4,97,3,20.646084,18.41292,train,,,,,,,,,,,
4,98,3,20.88717,18.437428,train,,,,,,,,,,,
4,99,3,21.182966,18.47308,train,,,,,,,,,,,
4,100,3,21.449594,18.511868,train,,,,,,,,,,,
4,103,3,21.498903,18.616425,train,,,,,,,,,,,
4,104,3,21.46319,18.65415,train,,,,,,,,,,,
4,105,3,21.32301,18.672466,train,,,,,,,,,,,
4,106,3,21.212795,18.6217,train,,,,,,,,,,,
4,107,3,21.447868,18.626133,train,,,,,,,,,,,
4,108,3,21.586744,18.638306,train,,,,,,,,,,,
4,109,3,21.674166,18.658325,train,,,,,,,,,,,
4,110,3,21.756666,18.666801,train,,,,,,,,,,,
4,111,3,21.818703,18.67641,train,,,,,,,,,,,
4,112,3,21.866539,18.68525,train,,,,,,,,,,,
4,113,3,22.059635,18.684206,train,,,,,,,,,,,
4,114,3,22.236107,18.70633,train,,,,,,,,,,,
4,115,3,22.284897,19.683426,train,,,,,,,,,,,
4,116,4,24.294676,25.08123,train,,,,,,,,,,,
4,120,4,24.492838,25.136799,train,,,,,,,,,,,
4,122,4,24.511354,25.168852,train,,,,,,,,,,,
4,123,4,24.53469,25.185768,train,,,,,,,,,,,
4,124,4,24.53988,25.175987,train,,,,,,,,,,,
4,126,4,24.756998,25.223934,train,,,,,,,,,,,
4,127,4,24.794134,25.243603,train,,,,,,,,,,,
4,128,4,24.88967,25.256802,train,,,,,,,,,,,
